Time (epoch),Longitude,Latitude,Depth (km),RMS (s),CI Year
1333402066,-128.2951,43.5604,58.5347,0.7989,1
1333900179,-129.5853,50.9595,0,23,1
1334189596,-127.9603,43.6903,0,1.1986,1
1334194379,-127.6114,43.422,0,2.0996,1
1334194996,-127.5791,43.416,0,2.3195,1
1334195619,-127.9034,43.46,54.9337,0.8065,1
1334201959,-127.5666,43.3666,0,1.6685,1
1334196219,-128.0633,43.7167,0,0.9886,1
1334212613,-127.865,43.4632,51.762,0.9012,1
1334221834,-127.7517,43.8383,4.1286,0.2076,1
1334226842,-127.8622,43.4772,25.5447,3.9103,1
1334247300,-127.8215,43.6231,0,1.3448,1
1334247891,-127.501,43.4168,0,1.5417,1
1334255062,-127.5589,43.3572,0,1.9153,1
1334260859,-127.8544,43.4382,42.0404,1.1286,1
1334288312,-127.91,43.4579,0,1.9425,1
1334302503,-127.6641,43.4146,0,1.7488,1
1334331017,-127.625,43.4245,0,2.0656,1
1334338557,-127.7596,43.4322,8.1015,1.568,1
1334352352,-126.4219,45.698,24.3087,0.3674,1
1334365703,-127.7054,43.4942,0,2.3904,1
1334372898,-127.8915,43.6715,0,0.9199,1
1334422388,-127.9854,43.7278,0,1.0316,1
1334423747,-127.2441,43.4379,0,1.4032,1
1334452968,-127.6674,43.6174,0,5.9423,1
1334453224,-127.8711,43.4527,56.1602,0.8299,1
1334473859,-127.553,43.3238,0,1.1483,1
1334481497,-128.9537,44.0355,0,1.7524,1
1334484872,-128.0273,43.4638,50.4582,1.0083,1
1334500600,-127.5299,43.381,0,1.5916,1
1334500109,-127.8069,43.4968,0,1.8573,1
1334555737,-127.6542,43.3692,56.6199,0.7759,1
1334570394,-127.7292,43.5834,0,0.9121,1
1334643274,-126.9806,43.1119,16.6264,0.4677,1
1334663623,-127.4442,43.3432,0,2.116,1
1334666891,-127.6979,43.4576,0,2.2073,1
1334690600,-126.9821,43.1009,0,2.2932,1
1335112150,-125.9772,44.9729,41.5582,0.4329,1
1335134363,-126.1907,45.8769,0,0.6804,1
1335273789,-127.219,42.8241,0,2.9686,1
1335656084,-128.2262,43.5209,54.9291,0.5165,1
1335675747,-127.632,43.4232,0,2.3183,1
1336495911,-126.0542,43.7876,24.5332,0.5244,1
1336770202,-126.251,44.3229,38.4533,0.4637,1
1336787713,-126.2688,45.3279,19.0627,0.549,1
1336830406,-127.6421,43.3975,0,2.0775,1
1337178379,-126.1879,43.9002,3.2825,0.9374,1
1337218154,-125.5944,44.7407,26.7834,0.0281,1
1337218322,-125.552,44.8234,14.9275,1.1552,1
1337219503,-125.6219,44.736,29.4525,0.4528,1
1337273652,-127.3569,43.9273,0,1.3589,1
1337410213,-128.7526,44.3695,0,3.0767,1
1337614328,-127.4456,43.468,21.4399,0.4766,1
1337683998,-127.4404,43.7281,0,1.1039,1
1337718296,-127.4101,43.4982,51.3259,0.5038,1
1337724962,-126.5331,45.8524,31.5267,0.5645,1
1337863514,-128.7729,44.321,0,0.4006,1
1337894029,-129.0577,44.0745,19.1412,0.6173,1
1338079655,-127.8138,43.9525,0,0.7267,1
1338204618,-129.1017,44.1858,34.6338,0.7772,1
1338515387,-128.8283,48.6221,0,0.6365,1
1338725794,-126.4803,45.9627,34.833,0.4704,1
1338788733,-128.8982,44.1394,17.5315,0.4878,1
1339228837,-128.9812,44.233,0,1.4261,1
1339239771,-126.7862,43.4581,0,0.4056,1
1339442852,-126.039,43.8111,21.222,0.404,1
1339474094,-127.8367,43.1182,0,0.5552,1
1339543488,-127.8636,48.8198,0,1.551,1
1320416599,-126.5873,44.8528,18.1755,0.1928,1
1328839068,-126.8696,46.1449,203.7129,9.0016,1
1329339260,-127.5612,43.402,0,1.9702,1
1329346464,-127.617,43.4009,0,1.721,1
1329907302,-126.587,44.7957,57.4057,0.4826,1
1337077186,-125.2228,41.0254,97.9841,0.8212,1
1362580701,-126.1006,41.5474,39.6354,0.9821,2
1345651194,-126.2493,43.07,17.5858,0.7055,2
1346716272,-125.3446,41.8139,167.6326,1.7649,2
1346736062,-125.7567,40.3121,0,2.1931,2
1346802253,-126.3294,41.5914,80.4954,3.4876,2
1346813102,-125.2976,40.7759,45.4646,0.4899,2
1347062797,-126.236,41.7842,0,0.2284,2
1347127787,-126.3528,42.4996,31.6753,1.4703,2
1347145976,-127.3002,43.4401,15.6856,0.1177,2
1347187859,-126.4091,42.4423,30.9292,1.5278,2
1347487058,-126.5567,44.5411,29.2116,0.3672,2
1347492111,-126.0281,44.6586,32.0001,0.5909,2
1347550347,-125.6156,41.0988,30.1311,0.6799,2
1347581317,-125.9974,42.3397,27.1278,0.069,2
1347637075,-126.7553,40.757,15.9018,0.0497,2
1347771982,-125.5167,40.4813,39.502,0.7522,2
1347892770,-126.5816,40.8771,34.5361,0.3893,2
1348072090,-125.5761,41.7379,31.614,0.6724,2
1348103974,-125.2563,40.7386,0,0.4914,2
1348160052,-126.4239,41.6444,7.1281,2.3845,2
1348232964,-125.5041,40.9803,33.4794,0.6309,2
1348242949,-126.9831,40.643,40.1436,0.9846,2
1348294527,-125.4421,41.0705,33.9201,0.1716,2
1348392052,-125.4853,40.9908,0,0.5712,2
1348469657,-125.311,40.4817,36.8644,0.3191,2
1348631047,-126.2478,41.2396,25.3227,0.3959,2
1348664675,-125.7397,41.4252,38.7834,1.5991,2
1348677317,-126.7448,43.0893,33.0695,0.314,2
1348750018,-126.7512,40.5485,33.2731,0.5673,2
1348779302,-125.4243,41.0901,34.7262,0.4577,2
1348795139,-125.5587,41.516,34.0041,0.6204,2
1348875527,-125.4739,41.0392,0,1.336,2
1349443647,-125.3283,41.1876,34.7942,0.3335,2
1349482398,-126.483,44.0203,28.5039,0.0488,2
1349516866,-125.7461,41.5225,0,1.7281,2
1349805892,-126.0061,41.974,25.1583,1.0203,2
1350030627,-125.6299,41.0759,25.6239,0.5286,2
1350559468,-125.2046,40.9325,70.0578,1.1996,2
1351992360,-125.175,41.1122,45.8714,0.4982,2
1352215300,-125.7396,41.2882,30.176,0.7627,2
1352551233,-125.3012,41.2936,34.3271,0.8194,2
1352840869,-125.6157,41.0693,0,1.8433,2
1353017119,-125.297,41.0813,31.968,0.6762,2
1353856451,-125.263,41.2141,32.7403,0.8824,2
1354648258,-126.014,41.4219,25.735,0.9082,2
1357760046,-125.6481,42.0417,37.1253,1.0129,2
1358543066,-125.0327,40.9901,35.7204,0.5816,2
1358919943,-125.5009,42.637,51.3028,1.8421,2
1359161889,-125.0853,40.9574,0,0.6462,2
1360284575,-125.568,41.1956,33.1686,0.6073,2
1360429821,-125.4075,41.5006,37.1166,1.1443,2
1361234884,-125.0575,40.966,43.6968,0.6057,2
1364290328,-125.8573,45.439,46.4682,1.2574,2
1364549390,-125.4622,41.051,33.2343,0.4366,2
1366790275,-126.2766,43.9843,34.2541,0.3317,2
1368994509,-126.0412,44.0574,9.9513,1.3865,2
1371884883,-126.6522,43.1952,29.3073,0.7359,2
1372014817,-126.8162,43.5623,63.729,1.3526,2
1372203160,-127.0049,43.2173,15.7202,0.5226,2
1372456591,-126.8303,44.9279,0,7.0226,2
1351803755,-125.1899,41.5889,0,5.8808,2
1343082049,-126.7856,43.258,0,0.3432,2
1376514664,-126.36,45.6987,16.3124,0.4638,3
1378766242,-125.1918,41.3431,0,0.9394,3
1378797290,-126.1078,46.284,34.0656,0.8173,3
1378980888,-129.0747,47.9805,44.6583,0.3465,3
1379558211,-126.2025,45.1817,22.5846,1.4558,3
1381056883,-128.7679,48.7342,28.0956,0.8535,3
1381493438,-126.158,43.6761,0,1.5491,3
1381545453,-125.9427,44.609,27.2475,0.7448,3
1381942401,-126.3102,45.904,33.0972,0.2177,3
1382491433,-126.189,45.7785,33.942,0.3804,3
1382827552,-125.8317,44.0207,123.9703,1.0857,3
1382897215,-126.1927,45.7675,40.4785,0.1297,3
1384098164,-126.4536,45.8608,33.8462,0.5216,3
1384098462,-125.8548,45.8667,91.8002,0.0223,3
1384099304,-126.4327,45.8619,27.5975,0.2632,3
1384102874,-125.8827,45.8209,28.8396,0.016,3
1385224352,-126.4559,45.3961,18.3268,0.3957,3
1386911385,-128.2282,48.8638,41.8196,0.3537,3
1387005614,-126.9132,43.3102,43.0494,0.7398,3
1387131653,-126.1431,43.7017,0,2.9378,3
1387347014,-126.0628,44.3251,31.0178,0.4394,3
1387805036,-126.1563,46.1236,30.5904,0.2645,3
1388080926,-126.234,44.7694,29.4075,0.4646,3
1388305560,-126.139,45.8479,0,8.3903,3
1388920261,-127.264,48.512,0,3.756,3
1389307893,-127.4497,45.71,0,5.6803,3
1389451063,-126.0562,44.892,39.863,0.4149,3
1389555792,-126.5184,45.0544,29.1777,0.9606,3
1389606277,-126.0712,44.9495,45.0204,0.5016,3
1389627607,-126.0387,44.8522,41.3839,0.4606,3
1389637765,-126.0987,44.6183,30.6071,0.9445,3
1389643930,-126.0252,44.865,0,2.3559,3
1389657619,-126.0628,44.8692,33.5778,0.641,3
1389775307,-126.0007,44.9418,0,1.3759,3
1389791854,-126.1217,44.852,0,0.1742,3
1389889011,-126.0494,44.8775,48.228,0.4194,3
1389951203,-126.0063,44.7504,81.0661,0.6312,3
1390064656,-126.0804,44.8911,33.1072,0.9504,3
1390226847,-126.0657,44.8615,36.4825,0.8014,3
1390272980,-126.0305,44.6241,119.0454,1.1955,3
