,network,station,location,band_inst,label,trace_starttime,trigger_onset,pick_time,trigger_offset,max_prob,thresh_prob
28,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T06:09:12.860000Z,2011-01-04T06:09:12.960000Z,2011-01-04T06:09:13.060000Z,0.05624793,0.05
29,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T06:17:20.520000Z,2011-01-04T06:17:20.720000Z,2011-01-04T06:17:20.890000Z,0.06212458,0.05
30,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T06:24:58.260000Z,2011-01-04T06:24:58.330000Z,2011-01-04T06:24:58.380000Z,0.05219647,0.05
31,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T06:59:16.320000Z,2011-01-04T06:59:16.620000Z,2011-01-04T06:59:17.090000Z,0.12755574,0.05
32,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T06:59:47.110000Z,2011-01-04T06:59:47.220000Z,2011-01-04T06:59:47.310000Z,0.05467297,0.05
33,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T07:42:11.690000Z,2011-01-04T07:42:11.900000Z,2011-01-04T07:42:12.100000Z,0.067918845,0.05
34,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T07:43:57.820000Z,2011-01-04T07:43:58.070000Z,2011-01-04T07:43:58.280000Z,0.059092328,0.05
35,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T07:46:11.070000Z,2011-01-04T07:46:11.460000Z,2011-01-04T07:46:11.720000Z,0.09266828,0.05
36,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T08:02:09.860000Z,2011-01-04T08:02:10.390000Z,2011-01-04T08:02:10.990000Z,0.088711105,0.05
37,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T08:44:01.040000Z,2011-01-04T08:44:01.330000Z,2011-01-04T08:44:01.660000Z,0.11496286,0.05
38,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T09:09:28.130000Z,2011-01-04T09:09:28.520000Z,2011-01-04T09:09:28.880000Z,0.06870452,0.05
39,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T10:09:51.140000Z,2011-01-04T10:09:51.700000Z,2011-01-04T10:09:52.110000Z,0.0788886,0.05
40,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T10:43:28.980000Z,2011-01-04T10:43:29.140000Z,2011-01-04T10:43:29.310000Z,0.06491969,0.05
41,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T11:04:06.140000Z,2011-01-04T11:04:06.730000Z,2011-01-04T11:04:07.250000Z,0.13726841,0.05
42,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T11:45:40.110000Z,2011-01-04T11:45:40.740000Z,2011-01-04T11:45:41.230000Z,0.08458588,0.05
43,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T13:32:14.900000Z,2011-01-04T13:32:15.140000Z,2011-01-04T13:32:15.370000Z,0.08304496,0.05
44,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T13:33:07.680000Z,2011-01-04T13:33:07.990000Z,2011-01-04T13:33:08.780000Z,0.38770548,0.05
45,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T14:32:19.590000Z,2011-01-04T14:32:19.860000Z,2011-01-04T14:32:20.100000Z,0.08598068,0.05
46,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T14:40:30.860000Z,2011-01-04T14:40:31.050000Z,2011-01-04T14:40:31.580000Z,0.07874659,0.05
47,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T14:48:33.440000Z,2011-01-04T14:48:33.540000Z,2011-01-04T14:48:33.630000Z,0.0556239,0.05
48,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T15:19:32.010000Z,2011-01-04T15:19:32.290000Z,2011-01-04T15:19:32.540000Z,0.08889037,0.05
49,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T15:25:04.450000Z,2011-01-04T15:25:04.710000Z,2011-01-04T15:25:04.900000Z,0.08324684,0.05
50,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T15:48:12.940000Z,2011-01-04T15:48:13.330000Z,2011-01-04T15:48:13.750000Z,0.17171465,0.05
51,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T15:56:50.090000Z,2011-01-04T15:56:50.470000Z,2011-01-04T15:56:50.700000Z,0.10201765,0.05
52,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T17:28:26.890000Z,2011-01-04T17:28:26.970000Z,2011-01-04T17:28:27.090000Z,0.055908777,0.05
53,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T17:38:46.070000Z,2011-01-04T17:38:46.140000Z,2011-01-04T17:38:46.220000Z,0.054365613,0.05
54,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T18:21:58.680000Z,2011-01-04T18:21:58.890000Z,2011-01-04T18:21:59.230000Z,0.079525664,0.05
55,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T19:41:50.250000Z,2011-01-04T19:41:50.360000Z,2011-01-04T19:41:50.460000Z,0.05577589,0.05
56,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T19:48:54.330000Z,2011-01-04T19:48:54.400000Z,2011-01-04T19:48:54.480000Z,0.052937515,0.05
57,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T20:03:31.290000Z,2011-01-04T20:03:31.310000Z,2011-01-04T20:03:31.340000Z,0.050177623,0.05
58,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T20:14:22.470000Z,2011-01-04T20:14:22.560000Z,2011-01-04T20:14:22.660000Z,0.05662467,0.05
59,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T20:30:54.430000Z,2011-01-04T20:30:54.450000Z,2011-01-04T20:30:54.460000Z,0.050180994,0.05
60,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T20:54:29.660000Z,2011-01-04T20:54:29.770000Z,2011-01-04T20:54:29.900000Z,0.058471497,0.05
61,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T20:57:01.440000Z,2011-01-04T20:57:01.450000Z,2011-01-04T20:57:01.450000Z,0.051213395,0.05
62,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T20:57:01.500000Z,2011-01-04T20:57:01.530000Z,2011-01-04T20:57:01.530000Z,0.050517306,0.05
63,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T21:41:22.680000Z,2011-01-04T21:41:22.750000Z,2011-01-04T21:41:22.820000Z,0.052639518,0.05
64,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T22:02:28.610000Z,2011-01-04T22:02:28.810000Z,2011-01-04T22:02:28.960000Z,0.063196994,0.05
65,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T22:33:27.020000Z,2011-01-04T22:33:27.310000Z,2011-01-04T22:33:27.570000Z,0.11050649,0.05
66,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T23:13:54.300000Z,2011-01-04T23:13:54.430000Z,2011-01-04T23:13:54.530000Z,0.056000844,0.05
67,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T23:16:48.380000Z,2011-01-04T23:16:48.620000Z,2011-01-04T23:16:48.850000Z,0.08787383,0.05
68,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T23:35:17.930000Z,2011-01-04T23:35:18.020000Z,2011-01-04T23:35:18.110000Z,0.054633837,0.05
69,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T00:18:49.500000Z,2011-01-04T00:18:49.740000Z,2011-01-04T00:18:49.940000Z,0.080403164,0.05
70,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T00:23:08.150000Z,2011-01-04T00:23:08.340000Z,2011-01-04T00:23:08.590000Z,0.07250769,0.05
71,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T00:29:35.270000Z,2011-01-04T00:29:35.510000Z,2011-01-04T00:29:35.710000Z,0.076423384,0.05
72,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T00:30:20.670000Z,2011-01-04T00:30:20.790000Z,2011-01-04T00:30:20.900000Z,0.054991346,0.05
73,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:01:00.920000Z,2011-01-04T01:01:01.220000Z,2011-01-04T01:01:01.470000Z,0.09321068,0.05
74,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:02:54.980000Z,2011-01-04T01:02:54.990000Z,2011-01-04T01:02:54.990000Z,0.05209468,0.05
75,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:11:56.130000Z,2011-01-04T01:11:56.330000Z,2011-01-04T01:11:56.530000Z,0.07937718,0.05
76,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:12:46.940000Z,2011-01-04T01:12:47.180000Z,2011-01-04T01:12:47.390000Z,0.08352159,0.05
77,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:19:40.500000Z,2011-01-04T01:19:40.670000Z,2011-01-04T01:19:40.830000Z,0.06817776,0.05
78,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:29:34.090000Z,2011-01-04T01:29:34.160000Z,2011-01-04T01:29:34.230000Z,0.052043878,0.05
79,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:36:45.570000Z,2011-01-04T01:36:45.870000Z,2011-01-04T01:36:46.160000Z,0.11588612,0.05
80,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:39:38.390000Z,2011-01-04T01:39:38.720000Z,2011-01-04T01:39:39.020000Z,0.12567994,0.05
81,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:42:14.780000Z,2011-01-04T01:42:14.930000Z,2011-01-04T01:42:15.020000Z,0.056933448,0.05
82,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:46:50.540000Z,2011-01-04T01:46:50.720000Z,2011-01-04T01:46:50.890000Z,0.06897272,0.05
83,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:52:19.470000Z,2011-01-04T01:52:19.750000Z,2011-01-04T01:52:20.190000Z,0.13334805,0.05
84,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T01:56:05.500000Z,2011-01-04T01:56:05.770000Z,2011-01-04T01:56:06.030000Z,0.10042668,0.05
85,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T02:07:27.550000Z,2011-01-04T02:07:27.740000Z,2011-01-04T02:07:27.910000Z,0.07220652,0.05
86,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T02:13:02.380000Z,2011-01-04T02:13:02.470000Z,2011-01-04T02:13:02.560000Z,0.055871703,0.05
87,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T02:13:17.750000Z,2011-01-04T02:13:17.990000Z,2011-01-04T02:13:18.220000Z,0.08104628,0.05
88,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T02:24:53.560000Z,2011-01-04T02:24:53.740000Z,2011-01-04T02:24:53.930000Z,0.07543684,0.05
89,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T02:34:56.860000Z,2011-01-04T02:34:57.070000Z,2011-01-04T02:34:57.260000Z,0.069844075,0.05
90,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T02:43:00.940000Z,2011-01-04T02:43:01.200000Z,2011-01-04T02:43:01.450000Z,0.09324445,0.05
91,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:04:48.040000Z,2011-01-04T03:04:48.400000Z,2011-01-04T03:04:48.670000Z,0.120512545,0.05
92,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:07:47.280000Z,2011-01-04T03:07:47.470000Z,2011-01-04T03:07:47.630000Z,0.07235585,0.05
93,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:08:33.130000Z,2011-01-04T03:08:33.360000Z,2011-01-04T03:08:33.530000Z,0.0734746,0.05
94,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:16:59.540000Z,2011-01-04T03:16:59.630000Z,2011-01-04T03:16:59.720000Z,0.05392273,0.05
95,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:21:04.000000Z,2011-01-04T03:21:04.170000Z,2011-01-04T03:21:04.330000Z,0.06917159,0.05
96,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:24:16.000000Z,2011-01-04T03:24:16.190000Z,2011-01-04T03:24:16.360000Z,0.07214295,0.05
97,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:44:30.470000Z,2011-01-04T03:44:30.740000Z,2011-01-04T03:44:31.090000Z,0.10126728,0.05
98,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:47:13.620000Z,2011-01-04T03:47:13.960000Z,2011-01-04T03:47:14.370000Z,0.24434344,0.05
99,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:49:50.400000Z,2011-01-04T03:49:50.410000Z,2011-01-04T03:49:50.440000Z,0.05037142,0.05
100,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:51:02.410000Z,2011-01-04T03:51:02.840000Z,2011-01-04T03:51:03.240000Z,0.25394678,0.05
101,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:52:07.670000Z,2011-01-04T03:52:07.980000Z,2011-01-04T03:52:08.290000Z,0.13100486,0.05
102,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T03:57:59.140000Z,2011-01-04T03:57:59.530000Z,2011-01-04T03:57:59.970000Z,0.26155585,0.05
103,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:01:34.070000Z,2011-01-04T04:01:34.490000Z,2011-01-04T04:01:34.920000Z,0.21647485,0.05
104,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:04:34.510000Z,2011-01-04T04:04:34.600000Z,2011-01-04T04:04:34.670000Z,0.054561093,0.05
105,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:05:29.700000Z,2011-01-04T04:05:29.810000Z,2011-01-04T04:05:29.900000Z,0.05698507,0.05
106,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:06:41.580000Z,2011-01-04T04:06:41.820000Z,2011-01-04T04:06:42.040000Z,0.08414083,0.05
107,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:06:54.680000Z,2011-01-04T04:06:54.830000Z,2011-01-04T04:06:54.960000Z,0.0627682,0.05
108,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:10:03.190000Z,2011-01-04T04:10:03.260000Z,2011-01-04T04:10:03.320000Z,0.052360017,0.05
109,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:14:57.840000Z,2011-01-04T04:14:58.170000Z,2011-01-04T04:14:58.470000Z,0.13303004,0.05
110,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:18:12.170000Z,2011-01-04T04:18:12.370000Z,2011-01-04T04:18:12.580000Z,0.0763582,0.05
111,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:21:59.750000Z,2011-01-04T04:21:59.810000Z,2011-01-04T04:21:59.860000Z,0.05229556,0.05
112,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:24:05.450000Z,2011-01-04T04:24:05.580000Z,2011-01-04T04:24:05.690000Z,0.05978771,0.05
113,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T04:59:55.310000Z,2011-01-04T04:59:55.380000Z,2011-01-04T04:59:55.400000Z,0.051705465,0.05
114,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T05:03:44.530000Z,2011-01-04T05:03:44.770000Z,2011-01-04T05:03:44.980000Z,0.0819104,0.05
115,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T05:15:03.590000Z,2011-01-04T05:15:03.990000Z,2011-01-04T05:15:04.330000Z,0.15631978,0.05
116,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T05:26:45.200000Z,2011-01-04T05:26:45.260000Z,2011-01-04T05:26:45.320000Z,0.051252913,0.05
117,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T05:29:59.600000Z,2011-01-04T05:29:59.810000Z,2011-01-04T05:29:59.990000Z,0.07189181,0.05
118,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T05:30:47.850000Z,2011-01-04T05:30:47.990000Z,2011-01-04T05:30:48.090000Z,0.059149083,0.05
119,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T05:52:12.290000Z,2011-01-04T05:52:12.450000Z,2011-01-04T05:52:12.600000Z,0.06536016,0.05
120,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T05:53:43.890000Z,2011-01-04T05:53:44.100000Z,2011-01-04T05:53:44.220000Z,0.06234275,0.05
121,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T05:59:47.630000Z,2011-01-04T05:59:48.100000Z,2011-01-04T05:59:48.450000Z,0.18903428,0.05
122,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T06:06:50.200000Z,2011-01-04T06:06:50.380000Z,2011-01-04T06:06:50.550000Z,0.06768967,0.05
123,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T06:09:16.350000Z,2011-01-04T06:09:16.420000Z,2011-01-04T06:09:16.490000Z,0.052740384,0.05
124,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T06:25:01.110000Z,2011-01-04T06:25:01.410000Z,2011-01-04T06:25:01.660000Z,0.10454126,0.05
125,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T06:42:09.700000Z,2011-01-04T06:42:09.890000Z,2011-01-04T06:42:10.060000Z,0.069684036,0.05
126,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T06:42:49.400000Z,2011-01-04T06:42:49.600000Z,2011-01-04T06:42:49.780000Z,0.07313229,0.05
127,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T06:49:00.030000Z,2011-01-04T06:49:00.290000Z,2011-01-04T06:49:00.510000Z,0.08948426,0.05
128,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T06:50:50.200000Z,2011-01-04T06:50:50.420000Z,2011-01-04T06:50:50.630000Z,0.08099276,0.05
129,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T06:59:19.980000Z,2011-01-04T06:59:20.230000Z,2011-01-04T06:59:20.450000Z,0.07700292,0.05
130,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T07:00:56.170000Z,2011-01-04T07:00:56.380000Z,2011-01-04T07:00:56.590000Z,0.08046026,0.05
131,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T07:01:50.780000Z,2011-01-04T07:01:50.850000Z,2011-01-04T07:01:50.900000Z,0.05235919,0.05
132,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T07:11:51.520000Z,2011-01-04T07:11:51.670000Z,2011-01-04T07:11:51.800000Z,0.06031247,0.05
133,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T07:21:36.570000Z,2011-01-04T07:21:36.750000Z,2011-01-04T07:21:36.900000Z,0.064035684,0.05
134,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T07:38:32.170000Z,2011-01-04T07:38:32.340000Z,2011-01-04T07:38:32.490000Z,0.065042995,0.05
135,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T07:43:15.590000Z,2011-01-04T07:43:15.780000Z,2011-01-04T07:43:15.960000Z,0.071120344,0.05
136,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T07:46:13.500000Z,2011-01-04T07:46:13.920000Z,2011-01-04T07:46:14.300000Z,0.21693352,0.05
137,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T07:53:03.980000Z,2011-01-04T07:53:04.250000Z,2011-01-04T07:53:04.530000Z,0.1009293,0.05
138,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T07:59:11.920000Z,2011-01-04T07:59:12.010000Z,2011-01-04T07:59:12.100000Z,0.05486348,0.05
139,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T08:02:13.180000Z,2011-01-04T08:02:13.590000Z,2011-01-04T08:02:13.950000Z,0.28502136,0.05
140,CN,ALB,,EH,S,2011-01-04T00:00:00.000000Z,2011-01-04T08:04:11.430000Z,2011-01-04T08:04:11.470000Z,2011-01-04T08:04:11.510000Z,0.05119089,0.05
