,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick
0,0,2012-10-01 04:32:58.332174+00:00,-26.649547637777534,-190.08598495623414,36.328125,9,40.788105357780196,-125.81573753113186,36.328125,0,191641,0.651057243347168,FS20B,S,1349066001.879701
1,0,2012-10-01 04:32:58.332174+00:00,-26.649547637777534,-190.08598495623414,36.328125,9,40.788105357780196,-125.81573753113186,36.328125,0,52682,-0.41686153411865234,G10B,P,1349065984.506205
2,0,2012-10-01 04:32:58.332174+00:00,-26.649547637777534,-190.08598495623414,36.328125,9,40.788105357780196,-125.81573753113186,36.328125,0,195745,-0.2728281021118164,G10B,S,1349065989.226205
3,0,2012-10-01 04:32:58.332174+00:00,-26.649547637777534,-190.08598495623414,36.328125,9,40.788105357780196,-125.81573753113186,36.328125,0,72030,0.19684147834777832,G19B,P,1349065988.8809
4,0,2012-10-01 04:32:58.332174+00:00,-26.649547637777534,-190.08598495623414,36.328125,9,40.788105357780196,-125.81573753113186,36.328125,0,214198,0.28417444229125977,G19B,S,1349065996.1609
5,0,2012-10-01 04:32:58.332174+00:00,-26.649547637777534,-190.08598495623414,36.328125,9,40.788105357780196,-125.81573753113186,36.328125,0,157798,-0.06282305717468262,JCC,P,1349066002.348393
6,0,2012-10-01 04:32:58.332174+00:00,-26.649547637777534,-190.08598495623414,36.328125,9,40.788105357780196,-125.81573753113186,36.328125,0,290227,-0.10449695587158203,JCC,S,1349066019.018393
7,0,2012-10-01 04:32:58.332174+00:00,-26.649547637777534,-190.08598495623414,36.328125,9,40.788105357780196,-125.81573753113186,36.328125,0,286122,0.427581787109375,KHMB,S,1349066026.03
8,0,2012-10-01 04:32:58.332174+00:00,-26.649547637777534,-190.08598495623414,36.328125,9,40.788105357780196,-125.81573753113186,36.328125,0,122893,-0.7026431560516357,M09B,P,1349066033.3936
9,1,2012-10-01 06:49:32.774709+00:00,65.56634736278599,-222.10368621206584,22.265625,8,40.49762351129882,-124.7265489262641,22.265625,1,47726,-1.0448877811431885,FS20B,P,1349074177.2802
10,1,2012-10-01 06:49:32.774709+00:00,65.56634736278599,-222.10368621206584,22.265625,8,40.49762351129882,-124.7265489262641,22.265625,1,191661,1.3665578365325928,FS20B,S,1349074183.5202
11,1,2012-10-01 06:49:32.774709+00:00,65.56634736278599,-222.10368621206584,22.265625,8,40.49762351129882,-124.7265489262641,22.265625,1,195746,-1.035762071609497,G10B,S,1349074191.706205
12,1,2012-10-01 06:49:32.774709+00:00,65.56634736278599,-222.10368621206584,22.265625,8,40.49762351129882,-124.7265489262641,22.265625,1,157801,-0.5571718215942383,JCC,P,1349074183.988393
13,1,2012-10-01 06:49:32.774709+00:00,65.56634736278599,-222.10368621206584,22.265625,8,40.49762351129882,-124.7265489262641,22.265625,1,290231,-0.5498979091644287,JCC,S,1349074192.128393
14,1,2012-10-01 06:49:32.774709+00:00,65.56634736278599,-222.10368621206584,22.265625,8,40.49762351129882,-124.7265489262641,22.265625,1,155494,0.18084263801574707,KMPB,P,1349074182.41
