,CI YEAR,TSTRING,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LAT,LON,DEPTH,Md,Num P&S with weights > 0.1,max az gap,dist to nearest stn,tt RMS,ERH,ERZ,STRIKE,DIP,RAKE,PLATE DESIGNATION,TEMPLATE EVENT?,datetime
0,1.0,20110726073102.2,2011.0,7.0,26.0,7.0,31.0,2.17,48.2635,-124.9298,5.59,2.21,7.0,205.0,44.4,0.77,3.5,6.4,,,,Upper Plate,,2011-07-26 07:31:02+00:00
1,1.0,20110727164530.9,2011.0,7.0,27.0,16.0,45.0,30.92,49.0682,-124.8845,2.8,1.83,6.0,222.0,15.7,0.25,2.4,24.1,,,,Upper Plate,,2011-07-27 16:45:30+00:00
2,1.0,20110728200841.2,2011.0,7.0,28.0,20.0,8.0,41.16,49.135,-124.783,3.03,2.11,5.0,282.0,16.3,0.03,2.1,12.1,,,,Upper Plate,,2011-07-28 20:08:41+00:00
3,1.0,20110729192416.7,2011.0,7.0,29.0,19.0,24.0,16.69,48.3612,-124.9625,14.34,1.64,7.0,225.0,26.0,0.89,9.2,14.2,,,,Upper Plate,,2011-07-29 19:24:16+00:00
4,1.0,20110801043341.0,2011.0,8.0,1.0,4.0,33.0,40.98,48.379,-124.642,25.17,1.82,8.0,185.0,9.1,0.21,1.5,2.1,,,,Interface,,2011-08-01 04:33:41+00:00
5,1.0,20110801043428.5,2011.0,8.0,1.0,4.0,34.0,28.47,48.405,-124.648,23.34,-9.0,6.0,186.0,12.0,0.17,1.9,2.0,,,,Interface,,2011-08-01 04:34:28+00:00
6,1.0,20110801043435.5,2011.0,8.0,1.0,4.0,34.0,35.47,48.3815,-124.6097,28.31,2.03,9.0,167.0,9.4,0.26,1.7,2.2,,,,Interface,,2011-08-01 04:34:35+00:00
7,1.0,20110801072725.9,2011.0,8.0,1.0,7.0,27.0,25.91,48.3727,-124.658,26.08,2.09,9.0,195.0,8.7,0.36,2.2,3.7,,,,Interface,,2011-08-01 07:27:25+00:00
8,1.0,20110803093144.5,2011.0,8.0,3.0,9.0,31.0,44.52,48.371,-124.632,28.77,1.42,10.0,181.0,8.1,0.36,2.2,2.8,,,,Interface,,2011-08-03 09:31:44+00:00
9,1.0,20110803093155.5,2011.0,8.0,3.0,9.0,31.0,55.47,48.3692,-124.616,29.23,1.79,10.0,171.0,8.0,0.36,2.1,2.7,,,,Interface,,2011-08-03 09:31:55+00:00
10,1.0,20110804200114.3,2011.0,8.0,4.0,20.0,1.0,14.29,45.0665,-122.6002,18.51,3.07,10.0,274.0,54.7,0.1,1.0,3.1,,,,Upper Plate,Catalog,2011-08-04 20:01:14+00:00
11,1.0,20110805053943.3,2011.0,8.0,5.0,5.0,39.0,43.34,47.9357,-124.0063,25.26,2.07,23.0,58.0,12.3,0.34,0.7,1.5,232.89,56.65,-36.61,Interface,,2011-08-05 05:39:43+00:00
12,1.0,20110806094803.7,2011.0,8.0,6.0,9.0,48.0,3.68,45.9188,-122.8917,13.63,2.67,6.0,324.0,56.2,0.07,2.1,2.8,,,,Upper Plate,Catalog,2011-08-06 09:48:03+00:00
13,1.0,20110810080357.9,2011.0,8.0,10.0,8.0,3.0,57.9,49.137,-125.474,42.1,2.06,8.0,109.0,19.8,0.11,0.8,1.8,355.48,80.36,-7.34,Slab,,2011-08-10 08:03:57+00:00
14,1.0,20110812054726.5,2011.0,8.0,12.0,5.0,47.0,26.48,48.0367,-124.3418,8.82,1.49,7.0,166.0,19.5,0.25,1.2,2.0,,,,Upper Plate,,2011-08-12 05:47:26+00:00
15,1.0,20110817115210.5,2011.0,8.0,17.0,11.0,52.0,10.54,45.0735,-125.3303,4.23,3.19,9.0,285.0,102.9,0.36,7.8,4.5,,,,Interface,,2011-08-17 11:52:10+00:00
16,1.0,20110822110716.9,2011.0,8.0,22.0,11.0,7.0,16.86,45.0472,-122.4132,11.09,3.04,11.0,286.0,69.4,0.18,1.2,2.5,,,,Upper Plate,Catalog,2011-08-22 11:07:16+00:00
17,1.0,20110824000648.1,2011.0,8.0,24.0,0.0,6.0,48.1,49.0902,-125.6812,31.8,2.03,7.0,153.0,20.0,0.09,1.0,1.6,,,,Interface,,2011-08-24 00:06:48+00:00
18,1.0,20110824082152.6,2011.0,8.0,24.0,8.0,21.0,52.55,44.2653,-124.6013,18.2,2.7,7.0,300.0,62.9,0.07,5.6,9.5,,,,Interface,T,2011-08-24 08:21:52+00:00
19,1.0,20110824192926.5,2011.0,8.0,24.0,19.0,29.0,26.46,45.3382,-123.4717,23.2,2.37,6.0,132.0,21.5,0.14,0.8,2.5,,,,Upper Plate,Catalog,2011-08-24 19:29:26+00:00
20,1.0,20110827183509.9,2011.0,8.0,27.0,18.0,35.0,9.91,45.7462,-123.0168,0.11,2.56,5.0,307.0,38.9,0.25,9.5,13.6,,,,Upper Plate,Catalog,2011-08-27 18:35:09+00:00
21,1.0,20110830060049.3,2011.0,8.0,30.0,6.0,0.0,49.29,47.616,-123.8942,17.36,1.64,11.0,98.0,13.3,0.29,1.0,1.4,,,,Upper Plate,T,2011-08-30 06:00:49+00:00
22,1.0,20110831035310.3,2011.0,8.0,31.0,3.0,53.0,10.27,48.125,-124.4472,11.4,1.94,14.0,116.0,8.8,0.28,0.8,0.6,,,,Upper Plate,,2011-08-31 03:53:10+00:00
23,1.0,20110831160739.7,2011.0,8.0,31.0,16.0,7.0,39.74,45.0453,-122.8165,14.56,2.55,9.0,256.0,39.8,0.16,2.0,2.7,,,,Upper Plate,,2011-08-31 16:07:39+00:00
24,1.0,20110903074235.6,2011.0,9.0,3.0,7.0,42.0,35.65,46.158,-123.1507,3.54,2.84,5.0,294.0,63.8,0.07,1.3,3.2,,,,Upper Plate,Catalog,2011-09-03 07:42:35+00:00
25,1.0,20110910050401.2,2011.0,9.0,10.0,5.0,4.0,1.24,45.4603,-122.8697,28.99,3.23,8.0,267.0,41.5,0.15,1.8,1.5,,,,Interface,Catalog,2011-09-10 05:04:01+00:00
26,1.0,20110910112109.5,2011.0,9.0,10.0,11.0,21.0,9.49,49.3893,-127.0937,4.57,2.81,7.0,333.0,85.8,0.64,42.8,31.6,,,,Undef,,2011-09-10 11:21:09+00:00
27,1.0,20110910113026.8,2011.0,9.0,10.0,11.0,30.0,26.78,46.8777,-123.6892,0.03,1.96,5.0,182.0,27.3,0.44,38.4,4.4,,,,Upper Plate,,2011-09-10 11:30:26+00:00
28,1.0,20110911195819.8,2011.0,9.0,11.0,19.0,58.0,19.83,48.4225,-123.7055,14.18,1.85,6.0,310.0,22.8,0.03,1.3,0.7,,,,Upper Plate,,2011-09-11 19:58:19+00:00
29,1.0,20110912052040.0,2011.0,9.0,12.0,5.0,20.0,39.97,49.3922,-127.0108,4.37,2.92,7.0,332.0,80.2,0.42,32.7,12.0,,,,Upper Plate,,2011-09-12 05:20:40+00:00
30,1.0,20110919123902.3,2011.0,9.0,19.0,12.0,39.0,2.29,48.4472,-124.477,33.89,2.55,12.0,146.0,14.1,0.17,0.7,1.3,,,,Interface,,2011-09-19 12:39:02+00:00
31,1.0,20110919190911.4,2011.0,9.0,19.0,19.0,9.0,11.37,48.3768,-124.1915,4.99,1.38,7.0,207.0,28.4,0.25,1.3,21.4,,,,Upper Plate,,2011-09-19 19:09:11+00:00
32,1.0,20110921054140.2,2011.0,9.0,21.0,5.0,41.0,40.25,48.2812,-124.9817,0.09,2.28,13.0,234.0,26.5,0.64,4.0,7.9,,,,Upper Plate,T,2011-09-21 05:41:40+00:00
33,1.0,20110924084400.8,2011.0,9.0,24.0,8.0,44.0,0.83,46.7288,-123.646,0.03,-9.0,5.0,186.0,21.3,0.44,38.3,5.6,,,,Upper Plate,,2011-09-24 08:44:00+00:00
34,1.0,20110930011207.9,2011.0,9.0,30.0,1.0,12.0,7.89,49.091,-125.5173,24.84,1.69,7.0,110.0,14.7,0.14,1.2,2.1,,,,Interface,,2011-09-30 01:12:07+00:00
35,1.0,20110930031528.5,2011.0,9.0,30.0,3.0,15.0,28.51,45.6065,-122.7563,28.29,3.05,7.0,288.0,57.4,0.67,5.7,5.7,,,,Upper Plate,Catalog,2011-09-30 03:15:28+00:00
36,1.0,20111005203935.9,2011.0,10.0,5.0,20.0,39.0,35.93,48.9953,-125.324,31.55,2.57,9.0,111.0,13.0,0.13,0.9,1.4,,,,Interface,,2011-10-05 20:39:35+00:00
37,1.0,20111005224445.0,2011.0,10.0,5.0,22.0,44.0,44.99,48.3107,-125.0612,4.13,2.26,12.0,264.0,32.4,0.36,1.6,2.6,,,,Upper Plate,T,2011-10-05 22:44:45+00:00
38,1.0,20111011195449.4,2011.0,10.0,11.0,19.0,54.0,49.39,44.7203,-124.3307,25.17,2.4,10.0,309.0,44.3,0.65,4.8,55.3,,,,Undef,,2011-10-11 19:54:49+00:00
39,1.0,20111012201915.7,2011.0,10.0,12.0,20.0,19.0,15.74,48.572,-125.4658,17.76,2.15,7.0,269.0,43.2,0.14,1.6,13.7,,,,Upper Plate,,2011-10-12 20:19:15+00:00
40,1.0,20111016163518.4,2011.0,10.0,16.0,16.0,35.0,18.38,49.0057,-125.174,34.16,3.11,10.0,192.0,19.1,0.15,1.0,1.2,,,,Interface,,2011-10-16 16:35:18+00:00
41,1.0,20111025131229.4,2011.0,10.0,25.0,13.0,12.0,29.38,49.048,-125.6522,19.01,1.92,8.0,138.0,15.2,0.51,1.6,4.2,,,,Interface,,2011-10-25 13:12:29+00:00
42,1.0,20111028132958.2,2011.0,10.0,28.0,13.0,29.0,58.21,45.0382,-123.4712,0.01,2.46,7.0,150.0,25.2,0.12,0.8,1.7,,,,Upper Plate,,2011-10-28 13:29:58+00:00
43,1.0,20111101224155.9,2011.0,11.0,1.0,22.0,41.0,55.88,48.5415,-124.2388,12.8,2.25,6.0,208.0,15.2,0.13,1.8,2.4,,,,Upper Plate,,2011-11-01 22:41:55+00:00
44,1.0,20111105074248.0,2011.0,11.0,5.0,7.0,42.0,48.03,47.2303,-122.1318,5.68,3.36,10.0,292.0,124.9,0.33,3.3,5.9,,,,Upper Plate,Catalog,2011-11-05 07:42:48+00:00
45,1.0,20111107211825.2,2011.0,11.0,7.0,21.0,18.0,25.19,48.881,-124.1982,18.69,1.6,6.0,272.0,5.2,0.05,1.2,0.9,,,,Upper Plate,,2011-11-07 21:18:25+00:00
46,1.0,20111108031912.9,2011.0,11.0,8.0,3.0,19.0,12.92,48.2742,-124.8717,4.23,1.83,8.0,245.0,18.5,0.04,0.9,2.4,,,,Upper Plate,Catalog,2011-11-08 03:19:12+00:00
47,1.0,20111109053812.2,2011.0,11.0,9.0,5.0,38.0,12.21,46.6552,-124.1423,10.06,2.09,7.0,172.0,44.8,0.13,1.1,1.6,,,,Upper Plate,,2011-11-09 05:38:12+00:00
48,1.0,20111110082059.2,2011.0,11.0,10.0,8.0,20.0,59.24,45.0385,-123.3958,11.55,2.5,7.0,143.0,21.8,0.15,1.6,5.2,,,,Upper Plate,,2011-11-10 08:20:59+00:00
49,1.0,20111118120904.1,2011.0,11.0,18.0,12.0,9.0,4.1,48.3597,-124.7797,37.37,2.37,6.0,286.0,13.4,0.05,1.9,1.1,,,,Slab,,2011-11-18 12:09:04+00:00
50,1.0,20111124075814.4,2011.0,11.0,24.0,7.0,58.0,14.42,48.192,-124.3395,3.38,2.08,5.0,261.0,24.3,0.01,0.7,1.0,,,,Upper Plate,,2011-11-24 07:58:14+00:00
51,1.0,20111129112722.3,2011.0,11.0,29.0,11.0,27.0,22.33,44.7142,-124.3275,18.56,2.56,8.0,174.0,35.6,0.24,0.9,1.2,,,,Interface,,2011-11-29 11:27:22+00:00
52,1.0,20111205210227.1,2011.0,12.0,5.0,21.0,2.0,27.11,46.1453,-123.0582,6.27,2.36,5.0,312.0,31.1,0.61,14.2,19.9,,,,Upper Plate,,2011-12-05 21:02:27+00:00
53,1.0,20111206080548.4,2011.0,12.0,6.0,8.0,5.0,48.41,45.9385,-122.9675,6.69,2.67,8.0,265.0,52.8,0.17,5.5,13.4,,,,Upper Plate,Catalog,2011-12-06 08:05:48+00:00
54,1.0,20111207112009.7,2011.0,12.0,7.0,11.0,20.0,9.74,49.2893,-125.6652,0.45,1.52,6.0,237.0,26.9,0.07,1.0,2.0,,,,Upper Plate,,2011-12-07 11:20:09+00:00
55,1.0,20111211200357.7,2011.0,12.0,11.0,20.0,3.0,57.74,48.7262,-124.2333,11.88,1.88,6.0,132.0,19.6,0.04,0.5,3.3,,,,Upper Plate,,2011-12-11 20:03:57+00:00
56,1.0,20111215192000.8,2011.0,12.0,15.0,19.0,20.0,0.79,45.0382,-123.4405,4.83,2.52,8.0,146.0,23.7,0.22,1.2,19.6,,,,Upper Plate,,2011-12-15 19:20:00+00:00
57,1.0,20111216053530.9,2011.0,12.0,16.0,5.0,35.0,30.91,49.077,-125.6252,16.58,2.11,10.0,146.0,16.2,0.17,0.7,1.0,,,,Interface,,2011-12-16 05:35:30+00:00
58,1.0,20111218090548.9,2011.0,12.0,18.0,9.0,5.0,48.92,45.0375,-123.3545,16.36,2.52,8.0,155.0,20.6,0.14,0.8,2.2,,,,Upper Plate,,2011-12-18 09:05:48+00:00
59,1.0,20111220000130.0,2011.0,12.0,20.0,0.0,1.0,29.99,44.6388,-124.2713,39.74,2.65,9.0,116.0,33.4,0.36,1.2,4.0,,,,Slab,,2011-12-20 00:01:30+00:00
60,1.0,20111220012453.1,2011.0,12.0,20.0,1.0,24.0,53.1,44.616,-124.2827,44.22,2.62,6.0,152.0,31.3,0.17,1.1,3.1,,,,Slab,Catalog,2011-12-20 01:24:53+00:00
61,1.0,20111220104838.4,2011.0,12.0,20.0,10.0,48.0,38.41,44.6402,-124.2895,11.94,2.83,13.0,141.0,32.3,0.28,0.8,1.3,,,,Interface,,2011-12-20 10:48:38+00:00
62,1.0,20111221141806.2,2011.0,12.0,21.0,14.0,18.0,6.25,48.105,-124.3595,11.58,1.66,5.0,195.0,19.3,0.45,14.8,25.1,,,,Upper Plate,,2011-12-21 14:18:06+00:00
63,1.0,20111222040345.4,2011.0,12.0,22.0,4.0,3.0,45.39,45.6613,-122.7832,7.0,2.59,4.0,317.0,50.1,0.05,6.1,11.0,,,,Upper Plate,Catalog,2011-12-22 04:03:45+00:00
64,1.0,20111223021109.7,2011.0,12.0,23.0,2.0,11.0,9.74,44.3528,-124.426,10.18,2.17,7.0,116.0,20.5,0.09,0.6,6.6,,,,Upper Plate,,2011-12-23 02:11:09+00:00
65,1.0,20111223034254.1,2011.0,12.0,23.0,3.0,42.0,54.12,44.3628,-124.4362,5.84,2.39,7.0,113.0,19.2,0.05,0.4,1.2,,,,Upper Plate,,2011-12-23 03:42:54+00:00
66,1.0,20111224030431.1,2011.0,12.0,24.0,3.0,4.0,31.08,48.1233,-124.5803,6.63,1.24,6.0,195.0,19.6,0.06,1.7,4.0,,,,Upper Plate,,2011-12-24 03:04:31+00:00
67,1.0,20111229213623.9,2011.0,12.0,29.0,21.0,36.0,23.94,43.8412,-125.4128,4.84,3.32,10.0,282.0,51.7,0.39,5.8,4.0,,,,Interface,,2011-12-29 21:36:23+00:00
68,1.0,20111231110218.9,2011.0,12.0,31.0,11.0,2.0,18.9,44.5285,-123.6655,22.71,2.24,8.0,121.0,14.3,0.11,1.3,2.2,,,,Interface,,2011-12-31 11:02:18+00:00
