,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,datetime
0,2011-12-29T12:25:42.850Z,48.6608333,-124.7318333,33.739,0.9,md,11.0,132.0,0.3178,0.26,uw,uw10833628,2016-07-22T18:06:53.680Z,"33 km NNW of Neah Bay, Washington",earthquake,0.821,1.89,0.03,5.0,reviewed,uw,uw,2011-12-29 12:25:42.850000+00:00
1,2011-12-28T14:24:38.780Z,45.4566667,-123.861,14.752,0.6,md,5.0,189.0,0.1497,0.1,uw,uw10833603,2016-07-22T18:06:51.490Z,"1 km W of Tillamook, Oregon",earthquake,0.696,0.91,0.04,3.0,reviewed,uw,uw,2011-12-28 14:24:38.780000+00:00
2,2011-12-27T17:33:57.950Z,40.3473333,-124.2411667,27.349,2.94,ml,22.0,98.0,0.04144,0.16,nc,nc71701050,2017-01-26T00:45:38.890Z,"19 km SW of Scotia, California",earthquake,0.54,0.73,0.26,18.0,reviewed,nc,nc,2011-12-27 17:33:57.950000+00:00
3,2011-12-22T20:56:51.280Z,40.3741667,-124.974,5.601,2.71,md,47.0,252.0,0.4955,0.25,nc,nc71698135,2017-01-25T23:44:11.842Z,"64 km WSW of Ferndale, California",earthquake,0.64,1.62,0.113,37.0,reviewed,nc,nc,2011-12-22 20:56:51.280000+00:00
4,2011-12-22T15:47:55.960Z,40.4665,-124.4715,25.489,2.3,md,13.0,236.0,0.1027,0.12,nc,nc71697990,2022-07-23T12:59:24.519Z,"21 km SW of Ferndale, California",earthquake,1.18,0.8,0.183,17.0,reviewed,nc,nc,2011-12-22 15:47:55.960000+00:00
5,2011-12-20T00:00:21.250Z,44.7016667,-124.3623333,24.075,1.6,md,5.0,279.0,0.4168,0.19,uw,uw10832893,2016-07-22T18:06:27.580Z,"25 km WNW of Newport, Oregon",earthquake,3.71,6.61,0.03,3.0,reviewed,uw,uw,2011-12-20 00:00:21.250000+00:00
6,2011-12-18T15:33:24.550Z,40.473,-124.2875,17.892,1.73,md,12.0,132.0,0.03784,0.09,nc,nc71695165,2017-01-25T22:23:11.661Z,near the coast of Northern California,earthquake,0.86,0.49,0.134,8.0,reviewed,nc,nc,2011-12-18 15:33:24.550000+00:00
7,2011-12-16T21:58:06.500Z,40.5773333,-123.8483333,21.025,1.86,md,24.0,121.0,0.1523,0.11,nc,nc71694215,2017-01-25T21:57:29.368Z,"21 km E of Hydesville, California",earthquake,0.32,0.37,0.124,18.0,reviewed,nc,nc,2011-12-16 21:58:06.500000+00:00
8,2011-12-15T12:26:02.610Z,40.4875,-124.4245,22.329,2.41,md,14.0,225.0,0.06757,0.13,nc,nc71693395,2017-01-25T21:33:44.960Z,"16 km SW of Ferndale, California",earthquake,0.87,0.51,0.236,40.0,reviewed,nc,nc,2011-12-15 12:26:02.610000+00:00
9,2011-12-15T06:43:40.600Z,40.7755,-124.3236667,20.372,2.44,md,23.0,179.0,0.227,0.07,nc,nc71693180,2017-01-25T21:26:03.540Z,"10 km WNW of Fields Landing, California",earthquake,0.47,0.28,0.236,25.0,reviewed,nc,nc,2011-12-15 06:43:40.600000+00:00
10,2011-12-11T11:29:41.140Z,40.2636667,-126.7853333,14.622,3.02,ml,16.0,307.0,1.88,0.25,nc,nc71690740,2017-01-25T20:25:25.994Z,"216 km W of Ferndale, California",earthquake,2.31,31.61,0.194,10.0,reviewed,nc,nc,2011-12-11 11:29:41.140000+00:00
11,2011-12-10T06:51:44.500Z,40.769,-124.3583333,19.337,2.14,md,16.0,203.0,0.2541,0.05,nc,nc71690070,2017-01-25T20:06:26.201Z,"13 km WNW of Fields Landing, California",earthquake,0.37,0.51,0.122,13.0,reviewed,nc,nc,2011-12-10 06:51:44.500000+00:00
12,2011-12-08T17:16:14.720Z,40.4551667,-124.3311667,24.419,3.03,ml,19.0,172.0,0.02072,0.11,nc,nc71689070,2022-08-06T08:36:39.745Z,"14 km SSW of Ferndale, California",earthquake,0.55,0.66,0.261,24.0,reviewed,nc,nc,2011-12-08 17:16:14.720000+00:00
13,2011-12-08T06:39:32.850Z,40.4265,-123.3596667,24.262,1.89,md,32.0,33.0,0.1622,0.17,nc,nc71693721,2017-01-25T19:27:44.940Z,"13 km ESE of Mad River, California",earthquake,0.35,1.48,0.118,27.0,reviewed,nc,nc,2011-12-08 06:39:32.850000+00:00
14,2011-12-08T05:19:12.100Z,40.4148333,-125.5871667,13.622,4.02,mw,63.0,249.0,0.955,0.27,nc,nc71693701,2022-08-06T08:35:45.502Z,"113 km W of Ferndale, California",earthquake,1.75,31.61,,6.0,reviewed,nc,nc,2011-12-08 05:19:12.100000+00:00
15,2011-12-07T12:55:39.910Z,40.5065,-123.5213333,-1.168,2.09,md,24.0,71.0,0.03153,0.2,nc,nc71693141,2017-01-25T19:14:29.660Z,"6 km N of Mad River, California",earthquake,0.53,1.72,0.127,24.0,reviewed,nc,nc,2011-12-07 12:55:39.910000+00:00
16,2011-12-06T04:37:32.770Z,40.2895,-124.3221667,17.07,1.84,md,15.0,192.0,0.04324,0.21,nc,nc71692236,2017-01-25T18:53:16.895Z,"28 km SW of Scotia, California",earthquake,0.86,0.53,0.132,14.0,reviewed,nc,nc,2011-12-06 04:37:32.770000+00:00
17,2011-12-05T18:29:49.760Z,40.6478333,-124.6231667,25.314,2.8,md,36.0,237.0,0.2775,0.2,nc,nc71691871,2017-01-25T18:44:19.239Z,"31 km WNW of Ferndale, California",earthquake,0.84,2.88,0.157,41.0,reviewed,nc,nc,2011-12-05 18:29:49.760000+00:00
18,2011-12-05T14:39:07.180Z,48.0646667,-124.3443333,26.823,2.3,md,25.0,89.0,0.1361,0.27,uw,uw10830308,2016-07-22T18:05:20.950Z,"13 km NNE of Forks, Washington",earthquake,0.538,0.25,0.04,9.0,reviewed,uw,uw,2011-12-05 14:39:07.180000+00:00
19,2011-12-03T18:03:11.640Z,46.7623333,-124.005,32.637,0.7,md,11.0,266.0,0.2667,0.12,uw,uw10829923,2016-07-22T18:05:11.560Z,"6 km NNW of Tokeland, Washington",earthquake,0.792,0.79,0.04,3.0,reviewed,uw,uw,2011-12-03 18:03:11.640000+00:00
20,2011-12-01T21:10:12.930Z,40.5486667,-124.0725,19.001,2.0,md,15.0,115.0,0.127,0.06,nc,nc71690066,2017-01-25T17:51:23.634Z,"2 km E of Hydesville, California",earthquake,0.31,0.38,0.121,12.0,reviewed,nc,nc,2011-12-01 21:10:12.930000+00:00
21,2011-11-30T20:01:48.050Z,40.332,-124.5426667,25.231,2.14,md,15.0,279.0,0.1973,0.19,nc,nc71689661,2017-01-25T17:38:36.744Z,"35 km SW of Ferndale, California",earthquake,1.04,1.23,0.343,13.0,reviewed,nc,nc,2011-11-30 20:01:48.050000+00:00
22,2011-11-30T18:15:09.070Z,40.3531667,-124.5393333,25.051,2.62,md,28.0,234.0,0.1964,0.24,nc,nc71689611,2022-07-23T11:21:33.759Z,"34 km SW of Ferndale, California",earthquake,0.91,0.72,0.149,30.0,reviewed,nc,nc,2011-11-30 18:15:09.070000+00:00
23,2011-11-30T18:12:00.300Z,40.3655,-124.5063333,22.161,2.42,md,16.0,278.0,0.1694,0.2,nc,nc71689601,2017-01-25T17:37:13.368Z,"31 km SW of Ferndale, California",earthquake,2.25,0.62,0.235,23.0,reviewed,nc,nc,2011-11-30 18:12:00.300000+00:00
24,2011-11-30T16:10:11.330Z,40.4951667,-124.4121667,28.01,2.03,md,4.0,307.0,0.06036,0.0,nc,nc71689541,2017-01-25T17:35:42.857Z,"15 km SW of Ferndale, California",earthquake,2.92,2.77,0.044,6.0,reviewed,nc,nc,2011-11-30 16:10:11.330000+00:00
25,2011-11-29T08:18:13.660Z,40.3141667,-124.632,8.11,2.73,md,40.0,232.0,0.2559,0.24,nc,nc71688766,2017-01-25T17:17:26.580Z,"42 km SW of Ferndale, California",earthquake,0.77,0.47,0.175,33.0,reviewed,nc,nc,2011-11-29 08:18:13.660000+00:00
26,2011-11-28T22:53:00.250Z,40.5521667,-124.0703333,18.131,2.29,md,20.0,113.0,0.1288,0.1,nc,nc71688531,2017-01-25T17:13:04.490Z,"2 km ENE of Hydesville, California",earthquake,0.32,0.45,0.099,22.0,reviewed,nc,nc,2011-11-28 22:53:00.250000+00:00
27,2011-11-28T06:28:35.390Z,40.3225,-124.4476667,6.32,2.66,md,10.0,263.0,0.1243,0.08,nc,nc71688186,2017-01-25T17:04:31.196Z,"32 km SSW of Ferndale, California",earthquake,1.07,0.67,0.141,14.0,reviewed,nc,nc,2011-11-28 06:28:35.390000+00:00
28,2011-11-27T07:09:23.080Z,40.923,-124.0251667,21.25,2.25,md,18.0,151.0,0.1054,0.12,nc,nc71687666,2017-01-25T16:43:12.294Z,"4 km S of Fieldbrook, California",earthquake,0.45,0.3,0.186,14.0,reviewed,nc,nc,2011-11-27 07:09:23.080000+00:00
29,2011-11-26T18:21:41.420Z,40.918,-123.4743333,24.155,2.14,md,21.0,43.0,0.2,0.23,nc,nc71687456,2017-01-25T16:36:11.400Z,"6 km NE of Trinity Village, California",earthquake,0.43,1.34,0.213,18.0,reviewed,nc,nc,2011-11-26 18:21:41.420000+00:00
30,2011-11-24T07:54:44.460Z,40.3113333,-123.9815,27.683,2.22,md,20.0,66.0,0.1252,0.08,nc,nc71686351,2017-01-25T16:07:53.575Z,"5 km WSW of Weott, California",earthquake,0.33,0.64,0.247,21.0,reviewed,nc,nc,2011-11-24 07:54:44.460000+00:00
31,2011-11-22T15:41:33.090Z,48.9775,-125.0136667,9.593,0.0,md,7.0,121.0,0.1645,0.63,uw,uw10832143,2016-07-22T18:04:24.760Z,"33 km SSW of Port Alberni, Canada",earthquake,0.117,0.39,0.02,0.0,reviewed,uw,uw,2011-11-22 15:41:33.090000+00:00
