,CI YEAR,TSTRING,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LAT,LON,DEPTH,Md,Num P&S with weights > 0.1,max az gap,dist to nearest stn,tt RMS,ERH,ERZ,STRIKE,DIP,RAKE,PLATE DESIGNATION,TEMPLATE EVENT?,datetime
0,1.0,20110726010207.4,2011.0,7.0,26.0,1.0,2.0,7.37,47.3217,-123.2708,41.04,3.39,14.0,166.0,27.4,0.19,0.8,1.2,,,,Interface,Catalog,2011-07-26 01:02:07+00:00
1,1.0,20110726010207.7,2011.0,7.0,26.0,1.0,2.0,7.72,44.2888,-124.334,2.49,2.86,4.0,332.0,163.8,0.06,13.1,3.2,,,,Upper Plate,,2011-07-26 01:02:07+00:00
2,1.0,20110726010208.6,2011.0,7.0,26.0,1.0,2.0,8.56,44.3017,-124.318,3.86,2.98,5.0,316.0,131.1,0.5,35.4,22.2,,,,Upper Plate,,2011-07-26 01:02:08+00:00
3,1.0,20110726095027.6,2011.0,7.0,26.0,9.0,50.0,27.63,48.3032,-124.9157,8.38,2.36,8.0,199.0,46.1,0.94,4.0,6.9,,,,Upper Plate,T,2011-07-26 09:50:27+00:00
4,1.0,20110727144401.4,2011.0,7.0,27.0,14.0,44.0,1.36,48.199,-124.5157,30.37,3.05,15.0,132.0,28.2,0.26,1.2,2.1,,,,Interface,T,2011-07-27 14:44:01+00:00
5,1.0,20110803081449.1,2011.0,8.0,3.0,8.0,14.0,49.15,45.2622,-122.938,9.47,3.01,10.0,247.0,26.2,0.13,1.3,1.2,,,,Upper Plate,Catalog,2011-08-03 08:14:49+00:00
6,1.0,20110803090133.8,2011.0,8.0,3.0,9.0,1.0,33.81,48.4252,-124.6278,11.33,2.44,29.0,135.0,14.2,0.69,1.3,2.5,,,,Upper Plate,T,2011-08-03 09:01:33+00:00
7,1.0,20110803091559.8,2011.0,8.0,3.0,9.0,15.0,59.82,48.4302,-124.6147,10.72,2.36,26.0,129.0,14.7,0.62,1.2,2.2,,,,Upper Plate,T,2011-08-03 09:15:59+00:00
8,1.0,20110803092958.9,2011.0,8.0,3.0,9.0,29.0,58.95,48.3677,-124.3603,2.1,2.0,6.0,194.0,21.1,0.16,0.8,1.7,,,,Upper Plate,T,2011-08-03 09:29:58+00:00
9,1.0,20110803095227.5,2011.0,8.0,3.0,9.0,52.0,27.53,48.3728,-124.6142,27.93,2.66,13.0,130.0,8.4,0.32,1.3,2.0,264.41,62.97,-30.68,Interface,T,2011-08-03 09:52:27+00:00
10,1.0,20110803231548.8,2011.0,8.0,3.0,23.0,15.0,48.8,45.0547,-122.5383,12.49,3.19,10.0,278.0,59.7,0.16,1.3,2.0,,,,Upper Plate,Catalog,2011-08-03 23:15:48+00:00
11,1.0,20110806070616.3,2011.0,8.0,6.0,7.0,6.0,16.26,45.1463,-122.8637,21.74,2.77,10.0,251.0,32.3,0.09,1.1,2.2,,,,Upper Plate,Catalog,2011-08-06 07:06:16+00:00
12,1.0,20110811165433.9,2011.0,8.0,11.0,16.0,54.0,33.92,48.1492,-124.4043,25.42,2.77,19.0,107.0,23.3,0.19,0.6,1.9,,,,Interface,T,2011-08-11 16:54:33+00:00
13,1.0,20110813005507.0,2011.0,8.0,13.0,0.0,55.0,6.98,48.864,-125.1502,10.82,2.49,18.0,133.0,3.3,0.35,0.7,1.1,,,,Upper Plate,T,2011-08-13 00:55:07+00:00
14,1.0,20110818093031.8,2011.0,8.0,18.0,9.0,30.0,31.77,48.511,-124.9895,7.65,2.14,11.0,193.0,35.9,0.29,1.2,2.5,,,,Upper Plate,T,2011-08-18 09:30:31+00:00
15,1.0,20110818095725.4,2011.0,8.0,18.0,9.0,57.0,25.4,48.5065,-124.9943,5.59,2.84,29.0,173.0,35.8,0.47,0.9,1.5,,,,Upper Plate,T,2011-08-18 09:57:25+00:00
16,1.0,20110818112823.1,2011.0,8.0,18.0,11.0,28.0,23.09,48.5125,-124.9623,7.62,2.64,10.0,187.0,34.5,0.42,1.4,2.5,,,,Upper Plate,T,2011-08-18 11:28:23+00:00
17,1.0,20110826133151.7,2011.0,8.0,26.0,13.0,31.0,51.73,48.8298,-125.146,29.27,2.7,15.0,182.0,1.0,0.17,0.7,1.1,,,,Interface,T,2011-08-26 13:31:51+00:00
18,1.0,20110901000143.1,2011.0,9.0,1.0,0.0,1.0,43.06,48.1225,-125.1457,7.83,2.23,8.0,231.0,43.3,0.33,1.6,2.9,,,,Upper Plate,,2011-09-01 00:01:43+00:00
19,1.0,20110905101315.8,2011.0,9.0,5.0,10.0,13.0,15.76,48.3985,-123.4817,3.84,2.61,13.0,179.0,28.0,0.16,0.7,1.9,,,,Upper Plate,,2011-09-05 10:13:15+00:00
20,1.0,20110906022046.4,2011.0,9.0,6.0,2.0,20.0,46.35,48.2018,-123.1242,35.67,3.74,20.0,272.0,61.0,0.25,1.3,2.8,,,,Interface,Catalog,2011-09-06 02:20:46+00:00
21,1.0,20110906180351.2,2011.0,9.0,6.0,18.0,3.0,51.16,48.7638,-125.4022,27.33,2.64,11.0,211.0,21.2,0.18,1.7,1.2,,,,Interface,,2011-09-06 18:03:51+00:00
