,idx,time,x,y,z,picks,latitude,longitude,depth
0,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625
1,1,2012-10-01 06:06:25.601846+00:00,104.48314708779446,-425.999093337978,25.390625,9,40.6584847168465,-124.2645213035744,25.390625
2,2,2012-10-01 06:49:32.006296+00:00,62.18227782148092,-443.9483995245588,33.984375,16,40.50112787526311,-124.76643045445886,33.984375
3,3,2012-10-01 06:55:58.805940+00:00,79.10262552800631,-479.84701189772045,27.734375,10,40.176440210852135,-124.57128526211022,27.734375
4,4,2012-10-01 07:27:43.834659+00:00,74.0265212160487,-458.3078444738235,36.328125,23,40.370857303067076,-124.6283884304095,36.328125
5,5,2012-10-01 11:20:40.350580+00:00,24.111495481798723,-433.1788158126103,24.609375,13,40.60008857175042,-125.2151345810533,24.609375
6,6,2012-10-01 12:32:08.013247+00:00,92.63890369322667,-443.9483995245588,48.828125,41,40.49828897141357,-124.40718293176383,48.828125
7,7,2012-10-01 13:23:37.624083+00:00,126.4795991062775,-460.70108529870095,39.453125,11,40.34300948934893,-124.0114200283373,39.453125
8,8,2012-10-01 16:03:33.180936+00:00,93.48492107855296,-485.8301139599141,12.890625,26,40.12108898792153,-124.40332192887682,12.890625
9,9,2012-10-01 16:20:18.296947+00:00,72.33448644539615,-448.7348811743136,31.640625,10,40.45720599751786,-124.64722128173904,31.640625
10,10,2012-10-01 17:17:57.658505+00:00,-69.79643428941736,-440.3585382872426,36.328125,18,40.532847592029455,-126.32378162702454,36.328125
11,11,2012-10-01 18:57:46.391364+00:00,90.94686892257414,-455.914603648946,30.078125,21,40.39073317053619,-124.42885157491307,30.078125
12,12,2012-10-01 20:00:13.912881+00:00,20.727425940493642,-335.055941992635,37.109375,13,41.4837263263669,-125.2518181803241,37.109375
13,13,2012-10-01 21:34:15.274075+00:00,189.08488562042157,307.52921948695865,0.390625,6,47.23959632748804,-123.00262608841616,0.390625
14,14,2012-10-01 22:50:12.664901+00:00,68.95041690409107,583.9485347603035,5.078125,15,49.74864872018104,-124.54326289361221,5.078125
15,15,2012-10-01 23:11:22.171855+00:00,-107.86721662909954,574.3755714607938,16.796875,18,49.65689166667211,-126.99393571534738,16.796875
16,16,2012-10-01 23:30:57.202589+00:00,59.6442256655021,-431.9821954001716,37.890625,26,40.60906553299405,-124.79524092869853,37.890625
17,17,2012-10-01 23:49:24.576494+00:00,216.15744195086222,396.07913000742406,8.984375,6,48.02667834534705,-122.60180793836844,8.984375
18,18,2012-10-02 01:00:40.976401+00:00,89.25483415192159,-477.453771072843,27.734375,10,40.196972516885324,-124.45177802177945,27.734375
19,19,2012-10-02 02:33:26.564962+00:00,107.86721662909954,-494.20645684698513,20.703125,20,40.04394911371541,-124.23603413806788,20.703125
20,20,2012-10-02 02:37:32.893267+00:00,-19.881408555167365,-442.75177911212006,41.796875,59,40.51399405087251,-125.73458838136422,41.796875
21,21,2012-10-02 02:56:56.090759+00:00,-21.573443325819913,-443.9483995245588,44.140625,64,40.50317585250721,-125.75451243023642,44.140625
22,22,2012-10-02 03:54:09.556545+00:00,-160.32029451932834,-412.83626880115196,47.265625,43,40.76800263569354,-127.39881393694515,47.265625
23,23,2012-10-02 04:04:15.303489+00:00,-155.2441902073707,-411.6396483887132,49.609375,15,40.77974601752574,-127.33902019349564,49.609375
24,24,2012-10-02 04:25:45.218111+00:00,28.341582408430078,-428.3923341628555,41.015625,50,40.643057131975226,-125.16494364212366,41.015625
25,25,2012-10-02 04:46:25.724319+00:00,77.41059075735379,-418.8193708633456,45.703125,30,40.72611206911246,-124.5837144247411,45.703125
26,26,2012-10-02 05:16:27.257156+00:00,80.79466029865887,-434.37543622504904,46.484375,51,40.585721598061525,-124.54566150834421,46.484375
27,27,2012-10-02 06:17:18.197502+00:00,8.037165160599574,-449.93150158675235,39.453125,35,40.44953672591228,-125.40525702773739,39.453125
28,28,2012-10-02 06:48:08.768091+00:00,25.803530252451264,-428.3923341628555,48.828125,50,40.643140289834754,-125.19494826477963,48.828125
29,29,2012-10-02 11:26:13.167153+00:00,74.0265212160487,-409.2464075638359,0.390625,6,40.812617460464836,-124.62263301540456,0.390625
30,30,2012-10-02 11:52:38.110561+00:00,93.48492107855296,-446.34164034943626,42.578125,15,40.47664599313827,-124.39755729644106,42.578125
31,31,2012-10-02 16:37:06.493476+00:00,-108.71323401442582,-350.6120073543385,34.765625,8,41.33659933823295,-126.79874095195727,34.765625
32,32,2012-10-02 17:14:11.522539+00:00,8.037165160599574,-422.4092321006618,37.890625,10,40.69738277822696,-125.40490680026953,37.890625
33,33,2012-10-02 17:42:24.541307+00:00,88.40881676659532,-422.4092321006618,19.140625,6,40.69268372492952,-124.45405704826942,19.140625
34,34,2012-10-02 18:10:16.089564+00:00,-216.15744195086222,88.54768401067253,5.078125,6,45.26357617821326,-128.25415025619964,5.078125
35,35,2012-10-02 18:24:44.809627+00:00,29.18759979375635,-434.37543622504904,36.328125,13,40.589149406887415,-125.1552192133426,36.328125
36,36,2012-10-02 19:02:36.482963+00:00,69.79643428941736,581.555293935426,12.890625,12,49.72703696279924,-124.53195367160681,12.890625
37,37,2012-10-02 20:28:52.857922+00:00,68.95041690409107,-447.538260761875,39.453125,18,40.46826847729995,-124.68698355280773,39.453125
38,38,2012-10-02 21:23:43.029191+00:00,57.95219089484956,-448.7348811743136,35.546875,37,40.45833250474008,-124.81676676500496,35.546875
39,39,2012-10-02 21:45:37.259209+00:00,80.79466029865887,-481.0436323101592,25.390625,15,40.16550396099351,-124.55157226327816,25.390625
40,40,2012-10-02 22:12:52.678013+00:00,211.08133763890459,380.52306464572064,0.390625,7,47.88863889654876,-122.6774078665535,0.390625
41,41,2012-10-02 22:40:14.822616+00:00,-140.01587727149786,-135.22033311536853,48.046875,25,43.27000266953891,-127.22467793243054,48.046875
42,42,2012-10-02 22:54:31.110332+00:00,67.25838213343854,583.9485347603035,11.328125,15,49.74884021106863,-124.56673777519744,11.328125
43,43,2012-10-02 22:57:32.874503+00:00,136.63180773019275,442.7473260925342,28.515625,8,48.46810771592846,-123.65228147509312,28.515625
44,44,2012-10-02 23:10:01.316707+00:00,38.49379103234533,-434.37543622504904,16.796875,8,40.58876899137555,-125.04529199979514,16.796875
45,45,2012-10-02 23:32:12.544904+00:00,46.953964885608045,-457.11122406138475,0.390625,9,40.38359618926789,-124.94704302045798,0.390625
46,46,2012-10-03 00:54:37.536505+00:00,40.18582580299787,-458.3078444738235,0.390625,8,40.37317391091838,-125.02682113104214,0.390625
47,47,2012-10-03 01:14:33.781526+00:00,100.25306016116312,-451.1281219991911,49.609375,47,40.432761795618966,-124.31851319102707,49.609375
48,48,2012-10-03 01:48:05.148081+00:00,61.336260436154646,-469.07742818577196,21.484375,13,40.27490700527142,-124.77882795242854,21.484375
49,49,2012-10-03 02:13:27.304245+00:00,-35.95573887636651,199.8333823674737,46.484375,10,46.29708749697204,-125.96666896220601,46.484375
50,50,2012-10-03 05:26:12.763443+00:00,58.798208280175835,-458.3078444738235,4.296875,11,40.372069628568184,-124.80767736769606,4.296875
51,51,2012-10-03 09:40:55.860454+00:00,11.421234701904659,-447.538260761875,49.609375,46,40.47104937324343,-125.36532230665854,49.609375
52,52,2012-10-03 10:17:58.537438+00:00,-141.70791204215038,-140.0068147651234,0.390625,8,43.226623015517205,-127.24428091820911,0.390625
53,53,2012-10-03 10:44:44.309265+00:00,136.63180773019275,-466.6841873608946,23.828125,13,40.28754948934452,-123.8932557075023,23.828125
54,54,2012-10-03 14:50:14.162483+00:00,81.64067768398516,-439.16191787480386,39.453125,17,40.542540935455854,-124.53628815341048,39.453125
