,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,datetime
11,2012-10-25T01:02:47.850Z,39.733,-123.5283333,12.346,1.97,md,20,91.0,0.06306,0.24,nc,nc71866970,2017-01-28T19:27:38.767Z,"6 km NW of Laytonville, California",earthquake,0.49,0.78,0.147,16.0,reviewed,nc,nc,2012-10-25 01:02:47.850000+00:00
12,2012-10-23T07:45:52.110Z,40.2988333,-124.5321667,8.249,3.69,mw,25,237.0,0.191,0.21,nc,nc71865635,2022-08-06T12:17:06.156Z,"38 km SW of Ferndale, California",earthquake,0.73,0.57,,3.0,reviewed,nc,nc,2012-10-23 07:45:52.110000+00:00
13,2012-10-22T01:48:58.860Z,40.3853333,-124.4026667,14.149,2.0,md,13,248.0,0.1036,0.12,nc,nc71864520,2017-01-28T18:54:19.927Z,"24 km SSW of Ferndale, California",earthquake,1.66,0.7,0.041,8.0,reviewed,nc,nc,2012-10-22 01:48:58.860000+00:00
14,2012-10-21T23:03:14.230Z,40.3096667,-124.5225,18.821,2.79,md,29,233.0,0.182,0.23,nc,nc71864415,2017-01-28T18:52:41.620Z,"36 km SW of Ferndale, California",earthquake,1.26,0.44,0.161,45.0,reviewed,nc,nc,2012-10-21 23:03:14.230000+00:00
15,2012-10-21T20:40:08.400Z,40.9011667,-123.9343333,21.251,3.55,mw,22,125.0,0.1108,0.1,nc,nc71864295,2022-08-06T12:15:38.994Z,Northern California,earthquake,0.31,0.24,,4.0,reviewed,nc,nc,2012-10-21 20:40:08.400000+00:00
16,2012-10-20T18:28:36.530Z,40.433,-123.7375,30.329,1.73,md,17,71.0,0.06396,0.16,nc,nc71863315,2017-01-28T18:23:27.079Z,"18 km ENE of Redcrest, California",earthquake,0.59,0.98,0.111,13.0,reviewed,nc,nc,2012-10-20 18:28:36.530000+00:00
17,2012-10-20T05:04:04.210Z,40.3681667,-124.4293333,16.051,2.01,md,15,261.0,0.1198,0.16,nc,nc71862975,2017-01-28T18:18:23.437Z,"27 km SSW of Ferndale, California",earthquake,0.88,0.54,0.076,13.0,reviewed,nc,nc,2012-10-20 05:04:04.210000+00:00
18,2012-10-20T02:57:01.360Z,40.2535,-123.601,30.514,2.01,md,28,46.0,0.0973,0.14,nc,nc71862900,2017-01-28T18:17:04.440Z,"8 km N of Alderpoint, California",earthquake,0.49,0.75,0.208,26.0,reviewed,nc,nc,2012-10-20 02:57:01.360000+00:00
19,2012-10-20T00:25:06.140Z,40.452,-124.1398333,18.992,1.82,md,16,117.0,0.03784,0.07,nc,nc71862850,2017-01-28T18:16:19.548Z,"4 km SW of Scotia, California",earthquake,0.33,0.38,0.141,14.0,reviewed,nc,nc,2012-10-20 00:25:06.140000+00:00
20,2012-10-19T23:52:23.330Z,40.4705,-123.5428333,23.462,1.84,md,21,70.0,0.02432,0.08,nc,nc71862805,2017-01-28T18:15:29.537Z,"3 km NW of Mad River, California",earthquake,0.29,0.52,0.128,22.0,reviewed,nc,nc,2012-10-19 23:52:23.330000+00:00
21,2012-10-19T11:10:14.840Z,40.281,-124.4731667,20.011,1.92,md,17,258.0,0.1505,0.21,nc,nc71862310,2017-01-28T18:07:09.574Z,"37 km SSW of Ferndale, California",earthquake,0.94,0.61,0.129,14.0,reviewed,nc,nc,2012-10-19 11:10:14.840000+00:00
22,2012-10-19T09:07:51.340Z,40.3173333,-124.6368333,16.021,2.03,md,23,240.0,0.2694,0.19,nc,nc71862185,2017-01-28T18:03:05.621Z,"42 km SW of Ferndale, California",earthquake,0.91,0.72,0.183,19.0,reviewed,nc,nc,2012-10-19 09:07:51.340000+00:00
23,2012-10-18T13:40:33.460Z,40.7556667,-123.9423333,23.086,2.13,md,22,86.0,0.09099,0.1,nc,nc71861635,2017-01-28T17:55:18.950Z,"13 km ESE of Indianola, California",earthquake,0.51,0.68,0.301,22.0,reviewed,nc,nc,2012-10-18 13:40:33.460000+00:00
24,2012-10-17T23:07:25.940Z,48.5948333,-123.4951667,18.269,0.45,md,3,241.0,0.06257,0.03,uw,uw60477826,2016-07-22T19:02:13.750Z,"9 km SW of North Saanich, Canada",earthquake,8.17,2.57,0.068,2.0,reviewed,uw,uw,2012-10-17 23:07:25.940000+00:00
25,2012-10-17T05:06:02.150Z,47.8413333,-123.6161667,35.485,1.05,md,10,100.0,0.2312,0.33,uw,uw60477611,2016-07-22T19:02:11.070Z,"33 km SSW of Port Angeles, Washington",earthquake,0.96,2.31,0.008,3.0,reviewed,uw,uw,2012-10-17 05:06:02.150000+00:00
26,2012-10-17T03:50:16.000Z,40.8978333,-124.5518333,16.351,2.48,md,19,234.0,0.6117,0.1,nc,nc71860980,2017-01-28T17:43:14.128Z,"32 km WNW of Samoa, California",earthquake,1.39,3.92,0.08,11.0,reviewed,nc,nc,2012-10-17 03:50:16+00:00
27,2012-10-16T10:11:16.960Z,40.3856667,-124.1898333,24.269,1.81,md,13,110.0,0.06126,0.11,nc,nc71860730,2017-01-28T17:38:46.108Z,"13 km SW of Scotia, California",earthquake,1.26,1.24,0.074,8.0,reviewed,nc,nc,2012-10-16 10:11:16.960000+00:00
28,2012-10-16T06:22:45.820Z,42.2533333,-124.7895,23.004,2.35,md,17,243.0,0.8005,0.22,uw,uw60464892,2016-07-22T19:02:10.260Z,"32 km W of Pistol River, Oregon",earthquake,0.98,1.85,0.112,10.0,reviewed,uw,uw,2012-10-16 06:22:45.820000+00:00
29,2012-10-15T14:43:28.730Z,40.2236667,-124.138,13.52,1.2,md,11,75.0,0.03694,0.12,nc,nc71860325,2017-01-28T17:28:39.951Z,"21 km WSW of Weott, California",earthquake,0.66,0.5,0.026,5.0,reviewed,nc,nc,2012-10-15 14:43:28.730000+00:00
30,2012-10-15T06:00:17.470Z,48.4203333,-123.3845,22.009,0.46,md,11,75.0,0.04055,0.17,uw,uw60464467,2016-07-22T19:02:08.380Z,"2 km SW of Victoria, Canada",earthquake,0.47,0.99,0.371,2.0,reviewed,uw,uw,2012-10-15 06:00:17.470000+00:00
31,2012-10-15T04:11:34.170Z,40.393,-126.8358333,-0.338,3.15,md,28,297.0,1.906,0.32,nc,nc71860015,2017-01-28T17:22:33.633Z,"219 km W of Ferndale, California",earthquake,7.88,4.25,0.245,25.0,reviewed,nc,nc,2012-10-15 04:11:34.170000+00:00
32,2012-10-14T16:53:07.420Z,40.645,-125.2721667,23.088,4.0,mw,78,253.0,0.7315,0.27,nc,nc71859625,2017-01-28T17:19:07.810Z,"85 km W of Ferndale, California",earthquake,2.2,10.9,,5.0,reviewed,nc,nc,2012-10-14 16:53:07.420000+00:00
33,2012-10-14T07:45:29.100Z,40.3906667,-125.6135,25.002,3.34,ml,36,288.0,0.9766,0.31,nc,nc71859415,2017-01-28T17:15:56.761Z,"116 km W of Ferndale, California",earthquake,2.06,31.61,0.111,11.0,reviewed,nc,nc,2012-10-14 07:45:29.100000+00:00
34,2012-10-14T03:08:01.290Z,40.7215,-124.2098333,14.555,1.74,md,14,175.0,0.1676,0.16,nc,nc71859320,2017-01-28T17:15:02.227Z,"0 km SE of Fields Landing, California",earthquake,0.62,0.96,0.133,10.0,reviewed,nc,nc,2012-10-14 03:08:01.290000+00:00
35,2012-10-14T02:39:45.510Z,40.3011667,-124.416,11.991,1.49,md,11,253.0,0.1027,0.17,nc,nc71859300,2017-01-28T17:14:46.653Z,"33 km SSW of Ferndale, California",earthquake,1.95,1.02,0.137,5.0,reviewed,nc,nc,2012-10-14 02:39:45.510000+00:00
36,2012-10-14T01:23:44.770Z,42.9273333,-126.9268333,4.934,2.54,md,26,284.0,2.23,0.75,uw,uw60464047,2016-07-22T19:02:04.180Z,"199 km W of Port Orford, Oregon",earthquake,14.19,19.28,0.098,5.0,reviewed,uw,uw,2012-10-14 01:23:44.770000+00:00
