station,phase,C,n_obs
PB.B012,S,0.6555088849148226,672
PB.B013,P,0.10838341072939653,4767
PB.B013,S,0.5067148293641642,5469
PB.B014,P,-0.34369484153019964,1130
PB.B014,S,-0.3548739747499007,776
PB.B017,P,0.34946659973298866,620
PB.B017,S,0.2684443716760772,463
PB.B018,P,-0.5784675040344427,1760
PB.B018,S,0.9317561038285702,2063
PB.B019,P,-0.32463820441513563,645
PB.B019,S,-0.7865603493885598,540
PB.B020,P,0.14354128788998868,717
PB.B020,S,-0.49393188855975023,746
PB.B022,P,0.21974576718524522,237
PB.B022,S,-0.3249671740916273,267
PB.B023,P,-0.15373904911549374,1240
PB.B023,S,0.2122068207747714,1185
PB.B024,P,0.8336095563287048,941
PB.B024,S,0.08973733588667629,741
PB.B026,P,0.5623131040192995,1010
PB.B026,S,0.8593988802238727,794
PB.B027,P,1.0764295094818355,143
PB.B027,S,0.5881925250489186,93
PB.B028,P,-0.2356995942934455,136
PB.B028,S,0.5081491708436076,83
PB.B030,P,0.41223113594886923,87
PB.B030,S,-0.2250492080892217,51
PB.B031,P,0.07666055719167508,810
PB.B031,S,0.2905666386718556,743
PB.B032,P,-0.7547438840000056,1396
PB.B032,S,-0.5437217595445627,1173
PB.B033,P,0.44187490857343276,1592
PB.B033,S,0.20814137953702413,841
PB.B035,P,0.7055583091265301,1227
PB.B035,S,0.2088802035856243,811
PB.B036,P,0.8717254557556562,1301
PB.B036,S,0.3065156878080402,992
PB.B039,P,0.928355380076052,135
PB.B039,S,1.043461657971781,82
PB.B040,P,1.1028534782153523,135
PB.B040,S,-0.2971692225261233,72
PB.B045,P,-0.938388203905869,6416
PB.B045,S,-0.6523797972973576,7575
PB.B046,P,-0.8567655314860003,9893
PB.B046,S,-0.23922031067500776,11019
PB.B047,P,2.943947626399618,11458
PB.B047,S,2.9582553418954176,12552
PB.B049,P,3.9192056198809833,7166
PB.B049,S,4.212668962894551,8578
PB.B201,P,-0.7803735991588809,6818
PB.B201,S,-0.4217385285976801,7090
PB.B202,P,-0.5551568629116775,4712
PB.B202,S,0.10891258133572244,5142
PB.B203,P,-0.23666983603423408,4998
PB.B203,S,0.21288874503397262,5856
PB.B204,P,0.3293517411865518,4004
PB.B204,S,0.6673699392005341,4633
PB.B926,P,0.2438514927380227,2099
PB.B926,S,1.5231353143848274,2073
PB.B927,P,0.46177057484918776,569
PB.B927,S,0.0012196036694674447,686
PB.B928,P,-0.2573976802053353,1540
PB.B928,S,-0.30772050070530055,1495
PB.B932,P,0.3866852319907786,10442
PB.B932,S,1.0711820915760701,11339
PB.B933,P,0.2749052772861446,7987
PB.B933,S,-0.4514512987704991,9387
PB.B935,P,0.5502761135480089,5849
PB.B935,S,-0.5641071254042114,4706
PB.B941,P,0.25181616560066905,2972
PB.B941,S,-0.5048376836811831,3452
PB.B943,P,0.6831052513703068,5289
PB.B943,S,1.2336409344886674,6285
TA.A04D,P,1.8092289222600075,102
TA.A04D,S,0.7335818234068076,125
TA.B05D,P,1.0358482264909568,273
TA.B05D,S,0.4531071565180064,295
TA.D03D,P,1.1325653430278924,2919
TA.D03D,S,1.0847612779270621,3102
TA.D04D,P,-0.2501550633678786,90
TA.D04D,S,1.1462491669234924,113
TA.E04D,P,1.024822649861509,268
TA.E04D,S,0.13175489326387751,275
TA.F04D,P,0.8027943341962506,446
TA.F04D,S,0.3804035423322565,570
TA.G03D,P,0.12344634833598322,1143
TA.G03D,S,-0.18182424104062442,983
TA.I02D,P,0.5627489649590313,2144
TA.I02D,S,0.5532075225580058,1533
TA.I03D,P,1.5052442987536128,2377
TA.I03D,S,1.0735544338425673,1437
TA.J01D,P,0.41002660737845936,395
TA.J01D,S,0.3336405130382875,293
TA.J01E,P,0.5722896245513334,982
TA.J01E,S,0.4396355076121371,901
TA.K02D,P,0.7503575069685624,4751
TA.K02D,S,0.7080561664351421,4309
TA.L02D,P,1.0818575866934892,947
TA.L02D,S,0.22172064470664074,516
TA.L02E,P,1.0330758225585155,2457
TA.L02E,S,1.2314246045869137,1332
UO.DBO,P,1.694993557948997,1768
UO.DBO,S,1.045072190772785,820
UO.FRIS,P,1.2144597429038408,15
UO.FRIS,S,1.0944360845413732,9
UO.IRO,P,1.2625982230549953,48
UO.IRO,S,1.3810630809190358,35
UW.ALKI,P,1.7224356695518295,364
UW.ALKI,S,1.4828180037324543,293
UW.ATES,P,2.1037536991297987,108
