TAJ43A  43.381 -88.419  322
TAJ59A  43.465 -74.504  541
7DJ51A  46.797 -126.164 -2610
TAJ35A  43.366 -95.208  457
7DG03A  40.059 -126.162 -4113
7DJ27B  44.848 -126.307 -2824
7DFS06B 40.381 -124.785 -2198
7DG03B  40.058 -126.163 -4051
7DG04B  40.058 -126.928 -4368
7DFS05B 40.387 -124.900 -2316
7DG11B  40.688 -126.376 -3123
7DFS09B 40.439 -124.809 -2161
7DG19B  41.307 -125.774 -3071
7DG20B  41.299 -126.613 -3141
7DG36B2 42.599 -126.904 -2423
7DG35B  42.566 -126.056 -2367
7DJ19B  44.178 -126.272 -2968
7DJ11B  43.541 -126.367 -3030
7DJ18B  44.008 -125.466 -3047
7DJ10B  43.349 -125.544 -3093
7DFS01B 40.327 -124.949 -940
7DG02B  40.049 -125.297 -1920
7DG10B  40.678 -125.553 -2936
7DG27B  41.917 -126.017 -3480
7DG28B  41.943 -126.734 -3327
7DFS20B 40.389 -125.031 -2378
7DFS13B 40.493 -124.807 -2332
7DFS02B 40.351 -124.798 -1403
X9BB030 42.947 -126.934 -2730
7DG26B  41.925 -125.177 -2357
X9BB070 43.307 -126.007 -3023
X9BB060 42.856 -126.113 -2795
X9BB090 43.374 -126.660 -2901
7DJ43C  46.137 -126.173 -2645
7DJ35C  45.499 -126.268 -2655
7DJ59C  47.511 -126.417 -2389
7DJ26C  44.653 -125.465 -2868
Z5BB630 42.877 -126.637 -3340
7DJ51C  46.796 -126.163 -2626
Z5GB050 42.475 -126.903 -3948
Z5GB220 41.073 -126.914 -2998
Z5GB380 40.059 -126.162 -4068
Z5GB330 40.511 -126.585 -3156
Z5GB320 40.397 -125.912 -2332
Z5GB080 41.983 -125.308 -3103
Z5GB260 40.975 -125.221 -3067
Z5GB210 41.337 -126.056 -3094
Z5GB100 42.026 -126.585 -3571
Z5GB030 42.356 -125.857 -2621
7DJ27D  44.849 -126.308 -2815
7DJ19D  44.179 -126.271 -2955
7DJ11D  43.542 -126.369 -3001
7DG35D  42.556 -126.399 -2823
7DG36D  42.462 -126.897 -3780
7DG20D  41.452 -126.864 -2931
7DG04D  40.158 -126.785 -4350
7DFS13D 40.494 -124.803 -2291
7DFS09D 40.438 -124.804 -2122
7DFS06D 40.370 -124.807 -1947
7DFS02D 40.326 -124.800 -948
Z5GB321 40.392 -125.912 -2283
7DG11D  40.785 -126.468 -3145
Z5GB101 42.020 -126.588 -3585
7DG10D  40.789 -125.554 -3015
Z5GB281 41.028 -126.090 -3124
Z5GB331 40.513 -126.584 -3137
7DJ26D  44.658 -125.467 -2880
7DJ18D  43.977 -125.481 -3050
7DJ10D  43.348 -125.545 -3085
7DG34D  42.572 -125.449 -3089
7DG18D  41.305 -125.256 -3130
7DG02D  40.160 -125.298 -1741
7DG19D  41.332 -126.028 -3082
7DG26D  41.984 -125.308 -3104
Z5BB631 42.879 -126.634 -3320
7DG27D  42.001 -125.982 -2939
OOHYSB1 44.510 -125.405 -2908
