,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick
0,0,2012-10-14 01:24:03.676530+00:00,-99.8234780850841,8.0142987399141,24.609375,4,41.81587307407816,-125.95139177313882,24.609375,0,283,-0.006772041320800781,G19B,P,1350177852.5612
1,0,2012-10-14 01:24:03.676530+00:00,-99.8234780850841,8.0142987399141,24.609375,4,41.81587307407816,-125.95139177313882,24.609375,0,843,0.12599539756774902,G27B,P,1350177847.304873
2,0,2012-10-14 01:24:03.676530+00:00,-99.8234780850841,8.0142987399141,24.609375,4,41.81587307407816,-125.95139177313882,24.609375,0,1053,-0.26100921630859375,M12B,P,1350177857.091794
3,0,2012-10-14 01:24:03.676530+00:00,-99.8234780850841,8.0142987399141,24.609375,4,41.81587307407816,-125.95139177313882,24.609375,0,1938,0.1417858600616455,M12B,S,1350177867.751794
4,1,2012-10-14 02:39:44.924554+00:00,26.269336338180025,-128.41298422692896,40.234375,5,40.59330564048192,-124.4396721580756,40.234375,1,12,0.3777811527252197,FS09B,P,1350182392.7547
5,1,2012-10-14 02:39:44.924554+00:00,26.269336338180025,-128.41298422692896,40.234375,5,40.59330564048192,-124.4396721580756,40.234375,1,1455,-0.1714925765991211,FS09B,S,1350182397.7947
6,1,2012-10-14 02:39:44.924554+00:00,26.269336338180025,-128.41298422692896,40.234375,5,40.59330564048192,-124.4396721580756,40.234375,1,190,-0.43693995475769043,G10B,P,1350182399.024647
7,1,2012-10-14 02:39:44.924554+00:00,26.269336338180025,-128.41298422692896,40.234375,5,40.59330564048192,-124.4396721580756,40.234375,1,1597,0.22028517723083496,G10B,S,1350182410.584647
8,1,2012-10-14 02:39:44.924554+00:00,26.269336338180025,-128.41298422692896,40.234375,5,40.59330564048192,-124.4396721580756,40.234375,1,286,0.010366678237915039,G19B,P,1350182405.2812
9,2,2012-10-14 03:08:04.522444+00:00,12.259023624484012,-107.0724036511099,49.609375,7,40.78580562443733,-124.60476291456622,49.609375,2,1456,0.2932014465332031,FS09B,S,1350184100.6947
10,2,2012-10-14 03:08:04.522444+00:00,12.259023624484012,-107.0724036511099,49.609375,7,40.78580562443733,-124.60476291456622,49.609375,2,192,-1.2752115726470947,G10B,P,1350184096.604647
11,2,2012-10-14 03:08:04.522444+00:00,12.259023624484012,-107.0724036511099,49.609375,7,40.78580562443733,-124.60476291456622,49.609375,2,1599,0.8267276287078857,G10B,S,1350184108.724647
12,2,2012-10-14 03:08:04.522444+00:00,12.259023624484012,-107.0724036511099,49.609375,7,40.78580562443733,-124.60476291456622,49.609375,2,288,-0.8414978981018066,G19B,P,1350184101.2812
