,Unnamed: 0,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick,datetime
0,123,25,2011-08-03 09:01:32.023543+00:00,64.14941414262296,437.457875007723,6.640625,7,48.43210867134776,-124.63311262784434,6.640625,25,644770,-0.0361137390136718,BMSB,S,1312362111.325,2011-08-03 09:01:32.023543+00:00
1,137,27,2011-08-18 09:57:24.478730+00:00,50.76171032155383,464.6355122274941,37.890625,8,48.677712426087545,-124.810700962714,37.890625,27,378744,-0.0483083724975585,BMSB,P,1313661452.15,2011-08-18 09:57:24.478730+00:00
2,175,40,2011-10-16 03:20:23.542344+00:00,44.06785841101927,380.24179665031016,25.390625,8,47.91929854884661,-124.91039664029825,25.390625,40,405248,0.3651211261749267,BMSB,P,1318735239.675,2011-10-16 03:20:23.542344+00:00
3,183,41,2011-10-21 10:58:58.082807+00:00,97.61867369529584,375.95059077350425,41.796875,8,47.87480196893426,-124.19502634621944,41.796875,41,362495,0.0452823638916015,FORK,P,1319194746.14,2011-10-21 10:58:58.082807+00:00
4,191,43,2011-10-27 10:26:06.596298+00:00,243.7677737419673,516.1299827491656,14.453125,6,49.09453805432327,-122.16196607380324,14.453125,43,367751,0.026369571685791,BMSB,P,1319711197.05,2011-10-27 10:26:06.596298+00:00
5,208,46,2011-11-02 11:26:48.532104+00:00,71.95890803824663,408.8498358290165,1.171875,6,48.174026933484974,-124.53246762289308,1.171875,46,415184,-0.2651419639587402,FORK,P,1320233215.515,2011-11-02 11:26:48.532104+00:00
6,214,47,2011-11-16 20:10:53.735320+00:00,31.795796575039205,478.9395318168472,24.609375,6,48.80758959628486,-125.06712816116084,24.609375,47,415420,-0.5638201236724854,BMSB,P,1321474257.725,2011-11-16 20:10:53.735320+00:00
7,220,48,2011-11-19 07:40:09.880206+00:00,48.530426351375645,418.8626495415638,49.609375,8,48.26628844422002,-124.84630640270096,49.609375,48,676558,-0.5492558479309082,BMSB,S,1321688430.75,2011-11-19 07:40:09.880206+00:00
8,234,50,2011-11-22 15:41:28.911611+00:00,36.25836451539559,503.2563651187477,3.515625,6,49.02599787521144,-125.00421725875889,3.515625,50,384538,0.3941922187805176,BMSB,P,1321976495.5,2011-11-22 15:41:28.911611+00:00
9,262,56,2012-01-01 08:42:00.270869+00:00,63.03377215753386,417.43224758262846,49.609375,6,48.25214963136544,-124.65118238015936,49.609375,56,417,-0.5073127746582031,J65A,P,1325407330.771681,2012-01-01 08:42:00.270869+00:00
10,442,88,2012-02-14 23:30:22.620307+00:00,58.57120421717749,423.1538554183698,6.640625,7,48.3040278985426,-124.71047710825304,6.640625,88,111722,-0.3372688293457031,FORK,P,1329262231.2,2012-02-14 23:30:22.620307+00:00
11,507,104,2012-03-25 11:19:18.396240+00:00,71.95890803824663,368.79858097882766,31.640625,6,47.81387311732796,-124.53917768368368,31.640625,104,52119,-0.1153020858764648,FORK,P,1332674364.19,2012-03-25 11:19:18.396240+00:00
12,513,105,2012-03-27 21:05:52.549067+00:00,71.95890803824663,371.6593848966983,6.640625,6,47.83959916604331,-124.53870273492284,6.640625,105,66948,-0.4681482315063476,FORK,P,1332882355.89,2012-03-27 21:05:52.549067+00:00
13,546,112,2012-05-28 07:26:28.367033+00:00,5.020388932900929,446.0402867613349,49.609375,7,48.512534169549646,-125.4320496434992,49.609375,112,18707,-1.2384612560272217,FORK,P,1338190002.085,2012-05-28 07:26:28.367033+00:00
14,622,127,2012-07-09 13:56:01.798751+00:00,52.992994291732025,463.2051102685587,11.328125,9,48.66466523771983,-124.78058767971346,11.328125,127,95291,-0.3230676651000976,FORK,P,1341842174.89,2012-07-09 13:56:01.798751+00:00
15,719,152,2014-01-14 00:35:23.186130+00:00,-144.47563706903782,557.6116395582898,7.421875,7,49.49860785132194,-127.4945188016028,7.421875,152,125875,1.438074827194214,BFSB,P,1389659751.8,2014-01-14 00:35:23.186130+00:00
16,734,154,2014-01-18 14:34:43.008689+00:00,-90.92482178476124,537.5860121331954,2.734375,8,49.32897656626807,-126.7508950878555,2.734375,154,209728,0.5215563774108887,BFSB,P,1390055704.47,2014-01-18 14:34:43.008689+00:00
17,748,156,2014-01-25 11:27:22.819792+00:00,-36.25836451539559,494.6739533651357,0.390625,6,48.948827390660384,-125.99501770610912,0.390625,156,572153,0.4527897834777832,BFSB,S,1390649266.87,2014-01-25 11:27:22.819792+00:00
18,754,159,2014-02-09 14:33:18.409909+00:00,143.35999508394872,375.95059077350425,35.546875,9,47.86622682561433,-123.58385023008832,35.546875,159,120330,0.0227439403533935,BFSB,P,1391956421.1,2014-02-09 14:33:18.409909+00:00
19,763,161,2014-02-20 01:58:26.738901+00:00,-32.9114385601283,496.1043553240711,7.421875,6,48.96187632979875,-125.9494408415967,7.421875,161,266298,0.1938037872314453,BFSB,P,1392861518.37,2014-02-20 01:58:26.738901+00:00
20,769,162,2014-03-04 04:16:02.279402+00:00,54.10863627682111,407.41943387008126,49.609375,7,48.1629334064381,-124.7726341892757,49.609375,162,209941,-0.4331371784210205,BFSB,P,1393906575.59,2014-03-04 04:16:02.279402+00:00
21,776,163,2014-03-05 08:45:49.720401+00:00,-85.34661185931579,560.4724434761605,12.890625,6,49.53551785320478,-126.6790923230014,12.890625,163,251494,0.5046515464782715,BFSB,P,1394009170.43,2014-03-05 08:45:49.720401+00:00
22,788,166,2014-03-21 18:50:25.755566+00:00,77.53711796369213,405.9890319111459,29.296875,8,48.14764732813466,-124.45799866711984,29.296875,166,257855,0.2518086433410644,BFSB,P,1395427840.37,2014-03-21 18:50:25.755566+00:00
23,811,171,2014-04-02 18:52:00.002724+00:00,-76.42147597860303,551.8900317225485,16.015625,8,49.45955510000388,-126.5541531941051,16.015625,171,267641,0.6971945762634277,BFSB,P,1396464739.15,2014-04-02 18:52:00.002724+00:00
24,865,180,2014-04-19 15:07:58.495715+00:00,-94.27174774002854,589.0804826548668,29.296875,9,49.791343364622406,-126.8092473306675,29.296875,180,260389,0.1816568374633789,BFSB,P,1397920101.77,2014-04-19 15:07:58.495715+00:00
25,874,181,2014-04-24 03:23:35.331645+00:00,-144.47563706903782,573.3460611065783,43.359375,8,49.63999198767,-127.50028987445796,43.359375,181,127810,0.215226411819458,BFSB,P,1398309842.89,2014-04-24 03:23:35.331645+00:00
