,idx,time,x,y,z,picks,latitude,longitude,depth
1,1,2011-03-01 17:07:07.540138+00:00,59.68684620226659,375.95059077350425,31.640625,6,47.879445323665706,-124.70203479850177,31.640625
2,2,2011-03-20 04:20:39.627115+00:00,-142.24435309885965,664.8917864784388,49.609375,6,50.463056812859804,-127.50338396063152,49.609375
3,3,2011-03-21 16:57:21.730601+00:00,170.13540272608702,354.4945613894745,49.609375,6,47.666875826588594,-123.23463018711563,49.609375
4,4,2011-04-23 20:03:08.498333+00:00,61.91813017244478,375.95059077350425,32.421875,6,47.87923415283243,-124.67220748594265,32.421875
6,6,2011-05-21 11:06:10.027406+00:00,189.10131647260164,453.1922965560115,16.796875,7,48.54837183446571,-122.9386253403274,16.796875
8,8,2011-06-03 18:29:35.022335+00:00,81.99968590404849,434.59707108985236,4.296875,6,48.4043166996169,-124.3924925317603,4.296875
9,9,2011-06-06 04:06:42.542511+00:00,50.76171032155383,374.5201888145689,16.015625,6,47.86734870290581,-124.82151523118307,16.015625
10,10,2011-06-13 08:52:29.304203+00:00,48.530426351375645,428.875463254111,1.171875,8,48.356328789935596,-124.84515531618784,1.171875
11,11,2011-06-13 10:24:05.516368+00:00,35.1427225303065,414.57144366475785,12.890625,8,48.22858177358499,-125.0269840614551,12.890625
12,12,2011-06-15 03:50:28.705882+00:00,143.35999508394872,474.6483259400412,6.640625,7,48.75331993570149,-123.55033623302248,6.640625
13,13,2011-06-15 23:35:53.439706+00:00,227.03314396563087,471.7875220221706,17.578125,7,48.702781711357645,-122.41537892740976,17.578125
14,14,2011-06-19 10:55:15.239185+00:00,219.22365007000718,473.21792398110597,13.671875,8,48.71841761963874,-122.52057249426313,13.671875
15,15,2011-06-21 22:04:33.157186+00:00,34.0270805452174,414.57144366475785,13.671875,6,48.22864256856757,-125.04199993412585,13.671875
16,16,2011-06-21 22:14:01.350319+00:00,35.1427225303065,414.57144366475785,9.765625,8,48.22858177358499,-125.0269840614551,9.765625
17,17,2011-07-06 13:39:52.873292+00:00,75.30583399351393,405.9890319111459,37.109375,8,48.14791523594409,-124.48797939250817,37.109375
18,18,2011-07-16 13:07:57.491332+00:00,7.251672903079118,404.55862995221065,35.546875,6,48.13946523831031,-125.40256270145794,35.546875
20,20,2011-07-20 14:12:37.063548+00:00,264.96497145866005,358.78576726628046,37.890625,6,47.67355311802823,-121.97139330146369,37.890625
21,21,2011-07-24 12:19:27.721317+00:00,185.75439051733434,375.95059077350425,49.609375,8,47.85537711212553,-123.01769392829121,49.609375
25,25,2011-08-03 09:01:32.023543+00:00,64.14941414262296,437.457875007723,6.640625,7,48.432108671347756,-124.63311262784434,6.640625
