,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,datetime
19,37125,2012-06-01T04:12:17.410Z,48.864,-129.158,10.0,3.8,mw,130.0,179.9,,,us,usp000jm6j,2015-03-24T01:29:58.534Z,"239 km W of Tofino, Canada",earthquake,,,,,reviewed,pgc,pgc,2012-06-01 04:12:17.410000+00:00
20,37205,2012-06-02T14:47:21.660Z,48.6445,-123.1263333,12.841,2.29,md,32.0,87.0,0.124,0.15,uw,uw60423956,2016-07-22T18:56:37.490Z,"14 km WNW of Orcas, Washington",earthquake,0.23,0.64,0.215,22.0,reviewed,uw,uw,2012-06-02 14:47:21.660000+00:00
21,38121,2012-06-16T06:57:25.270Z,49.615,-127.103,40.0,3.4,ml,74.0,160.0,,,us,usp000jmu8,2014-11-07T01:48:05.846Z,"70 km SW of Vernon, Canada",earthquake,,,,,reviewed,pgc,pgc,2012-06-16 06:57:25.270000+00:00
22,39220,2012-07-03T03:32:57.370Z,48.8751667,-126.1895,4.417,2.25,md,11.0,250.0,0.4301,0.25,uw,uw60421337,2016-07-22T18:57:37.690Z,"37 km SSW of Tofino, Canada",earthquake,1.64,22.78,0.092,7.0,reviewed,uw,uw,2012-07-03 03:32:57.370000+00:00
23,39692,2012-07-09T13:56:01.860Z,48.5925,-124.8583333,30.87,2.65,md,31.0,144.0,0.3029,0.27,uw,uw60424067,2016-07-22T18:58:01.410Z,"30 km NW of Neah Bay, Washington",earthquake,0.63,1.14,0.108,17.0,reviewed,uw,uw,2012-07-09 13:56:01.860000+00:00
24,81964,2014-02-09T14:33:19.320Z,47.7858333,-123.7595,34.557,2.51,ml,27.0,70.0,0.04765,0.3,uw,uw60688367,2016-07-22T19:24:58.960Z,"37 km NNE of Amanda Park, Washington",earthquake,0.61,1.39,0.211,35.0,reviewed,uw,uw,2014-02-09 14:33:19.320000+00:00
25,83485,2014-03-04T04:16:03.570Z,48.2403333,-124.8865,0.012,0.81,md,9.0,202.0,0.1838,0.25,uw,uw60707112,2016-07-22T19:25:42.970Z,"24 km SW of Neah Bay, Washington",earthquake,1.32,1.48,0.14,4.0,reviewed,uw,uw,2014-03-04 04:16:03.570000+00:00
26,84769,2014-03-21T10:29:58.080Z,48.2356667,-122.9215,47.724,2.18,ml,23.0,58.0,0.1829,0.18,uw,uw60725401,2016-07-22T19:26:19.290Z,"17 km NE of Jamestown, Washington",earthquake,0.56,0.89,0.188,26.0,reviewed,uw,uw,2014-03-21 10:29:58.080000+00:00
27,84803,2014-03-21T18:50:26.470Z,48.119,-124.6428333,31.638,2.31,ml,19.0,173.0,0.1666,0.27,uw,uw60725606,2016-07-22T19:26:20.620Z,"26 km NW of Forks, Washington",earthquake,0.77,1.15,0.19,18.0,reviewed,uw,uw,2014-03-21 18:50:26.470000+00:00
28,85615,2014-04-02T18:52:02.910Z,49.2685,-126.6911667,4.477,1.87,md,9.0,222.0,0.667,0.84,uw,uw60734596,2016-07-22T19:26:52.650Z,"58 km WNW of Tofino, Canada",earthquake,3.89,70.3,0.122,3.0,reviewed,uw,uw,2014-04-02 18:52:02.910000+00:00
