,CI YEAR,TSTRING,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LAT,LON,DEPTH,Md,Num P&S with weights > 0.1,max az gap,dist to nearest stn,tt RMS,ERH,ERZ,STRIKE,DIP,RAKE,PLATE DESIGNATION,TEMPLATE EVENT?,datetime
0,1.0,20110803090133.8,2011.0,8.0,3.0,9.0,1.0,33.81,48.4252,-124.6278,11.33,2.44,29.0,135.0,14.2,0.69,1.3,2.5,,,,Upper Plate,T,2011-08-03 09:01:33+00:00
1,1.0,20110818095725.4,2011.0,8.0,18.0,9.0,57.0,25.4,48.5065,-124.9943,5.59,2.84,29.0,173.0,35.8,0.47,0.9,1.5,,,,Upper Plate,T,2011-08-18 09:57:25+00:00
2,1.0,20111016032023.3,2011.0,10.0,16.0,3.0,20.0,23.34,47.907,-124.9047,13.24,2.48,17.0,256.0,24.6,0.16,1.1,1.2,,,,Interface,T,2011-10-16 03:20:23+00:00
3,1.0,20111021105858.6,2011.0,10.0,21.0,10.0,58.0,58.61,47.907,-124.2907,39.83,2.75,25.0,81.0,8.4,0.18,0.5,0.7,,,,Slab,Catalog,2011-10-21 10:58:58+00:00
4,1.0,20111027102606.9,2011.0,10.0,27.0,10.0,26.0,6.92,48.9872,-122.3613,7.24,3.52,9.0,341.0,163.9,0.79,37.2,54.9,,,,Upper Plate,Catalog,2011-10-27 10:26:06+00:00
5,1.0,20111102112650.0,2011.0,11.0,2.0,11.0,26.0,50.0,48.1653,-124.4115,6.62,1.75,8.0,199.0,21.7,0.25,1.2,1.7,,,,Upper Plate,,2011-11-02 11:26:50+00:00
6,1.0,20111116201053.1,2011.0,11.0,16.0,20.0,10.0,53.11,48.7402,-125.0065,29.67,3.12,14.0,118.0,14.2,0.38,1.5,2.8,,,,Interface,,2011-11-16 20:10:53+00:00
7,1.0,20111119074009.4,2011.0,11.0,19.0,7.0,40.0,9.38,48.3185,-125.0782,0.14,2.16,11.0,265.0,33.7,0.54,5.3,7.6,,,,Upper Plate,,2011-11-19 07:40:09+00:00
8,1.0,20111122154130.3,2011.0,11.0,22.0,15.0,41.0,30.29,48.882,-125.1092,34.55,3.22,9.0,138.0,5.5,0.15,1.0,1.3,,,,Interface,,2011-11-22 15:41:30+00:00
9,1.0,20120101084201.8,2012.0,1.0,1.0,8.0,42.0,1.78,48.3023,-124.7633,0.03,2.53,17.0,66.0,10.3,0.85,1.6,3.9,,,,Upper Plate,,2012-01-01 08:42:01+00:00
10,1.0,20120214233025.7,2012.0,2.0,14.0,23.0,30.0,25.74,48.22,-124.7152,14.63,2.14,10.0,175.0,10.9,0.86,3.3,5.2,,,,Upper Plate,,2012-02-14 23:30:25+00:00
11,1.0,20120325111918.5,2012.0,3.0,25.0,11.0,19.0,18.49,47.8085,-124.4862,26.41,2.82,27.0,146.0,15.4,0.33,0.9,1.2,,,,Interface,T,2012-03-25 11:19:18+00:00
12,1.0,20120327210550.1,2012.0,3.0,27.0,21.0,5.0,50.05,47.9485,-124.2552,6.89,1.49,6.0,281.0,23.2,0.18,8.5,9.0,,,,Upper Plate,,2012-03-27 21:05:50+00:00
13,1.0,20120528072626.7,2012.0,5.0,28.0,7.0,26.0,26.73,48.3868,-125.4755,0.03,3.13,20.0,132.0,12.8,0.94,2.2,1.1,,,,Upper Plate,,2012-05-28 07:26:26+00:00
14,1.0,20120709135602.7,2012.0,7.0,9.0,13.0,56.0,2.72,48.5958,-124.8642,7.21,3.47,35.0,68.0,46.6,0.72,0.9,2.3,,,,Upper Plate,,2012-07-09 13:56:02+00:00
15,3.0,20140114003525.9,2014.0,1.0,14.0,0.0,35.0,25.89,49.3538,-127.238,7.14,3.34,8.0,284.0,43.8,0.04,1.2,1.5,,,,Interface,Catalog,2014-01-14 00:35:25+00:00
16,3.0,20140118143442.8,2014.0,1.0,18.0,14.0,34.0,42.78,49.2808,-126.7222,1.89,2.68,11.0,227.0,14.5,0.39,6.5,1.3,,,,Upper Plate,T,2014-01-18 14:34:42+00:00
17,3.0,20140125112721.6,2014.0,1.0,25.0,11.0,27.0,21.64,49.0607,-126.142,4.41,2.07,5.0,217.0,32.8,0.12,2.8,1.1,,,,Upper Plate,,2014-01-25 11:27:21+00:00
18,3.0,20140209143318.7,2014.0,2.0,9.0,14.0,33.0,18.66,47.8085,-123.7173,34.93,3.18,22.0,75.0,1.2,0.24,0.5,0.9,,,,Interface,T,2014-02-09 14:33:18+00:00
19,3.0,20140220015828.4,2014.0,2.0,20.0,1.0,58.0,28.4,48.9787,-126.0158,25.78,2.59,10.0,171.0,21.1,0.54,2.1,4.6,,,,Interface,Catalog,2014-02-20 01:58:28+00:00
20,3.0,20140304041602.9,2014.0,3.0,4.0,4.0,16.0,2.85,48.2433,-124.7878,0.08,1.9,7.0,186.0,13.5,0.26,1.2,1.0,,,,Upper Plate,Catalog,2014-03-04 04:16:02+00:00
21,3.0,20140305084550.4,2014.0,3.0,5.0,8.0,45.0,50.39,49.3342,-126.6683,13.8,2.86,7.0,300.0,10.7,0.06,1.9,0.9,,,,Interface,Catalog,2014-03-05 08:45:50+00:00
22,3.0,20140321185026.0,2014.0,3.0,21.0,18.0,50.0,25.98,48.1448,-124.618,27.49,2.99,19.0,99.0,17.0,0.25,0.7,1.5,,,,Interface,Catalog,2014-03-21 18:50:26+00:00
23,3.0,20140402185200.6,2014.0,4.0,2.0,18.0,52.0,0.55,49.2837,-126.4247,4.46,2.8,8.0,119.0,14.0,0.21,1.2,0.9,56.95,76.03,12.86,Upper Plate,Catalog,2014-04-02 18:52:00+00:00
24,3.0,20140419150758.5,2014.0,4.0,19.0,15.0,7.0,58.54,49.6588,-126.8853,7.0,3.03,14.0,250.0,20.8,0.89,5.5,5.3,,,,Upper Plate,,2014-04-19 15:07:58+00:00
25,3.0,20140424032335.1,2014.0,4.0,24.0,3.0,23.0,35.11,49.5325,-127.4215,2.34,3.47,12.0,272.0,65.9,0.44,7.3,1.8,,,,Interface,Catalog,2014-04-24 03:23:35+00:00
26,3.0,20140426093039.4,2014.0,4.0,26.0,9.0,30.0,39.43,49.6642,-127.5295,14.03,3.44,11.0,309.0,66.4,0.43,2.8,38.2,,,,Slab,,2014-04-26 09:30:39+00:00
27,3.0,20140512100444.1,2014.0,5.0,12.0,10.0,4.0,44.14,49.238,-126.2723,3.92,2.3,17.0,96.0,25.4,0.34,0.9,0.6,,,,Upper Plate,Catalog,2014-05-12 10:04:44+00:00
28,3.0,20140513175536.2,2014.0,5.0,13.0,17.0,55.0,36.25,49.5658,-127.5667,4.0,2.99,7.0,286.0,68.8,0.28,9.0,3.2,,,,Interface,Catalog,2014-05-13 17:55:36+00:00
29,3.0,20140521040416.5,2014.0,5.0,21.0,4.0,4.0,16.49,49.2055,-126.4132,3.53,3.01,17.0,96.0,21.9,0.36,1.0,0.6,250.57,81.5,0.78,Upper Plate,Catalog,2014-05-21 04:04:16+00:00
30,3.0,20140521090849.7,2014.0,5.0,21.0,9.0,8.0,49.74,49.4323,-127.0675,4.27,2.68,8.0,280.0,37.2,0.23,6.1,1.9,,,,Upper Plate,Catalog,2014-05-21 09:08:49+00:00
