,CI YEAR,TSTRING,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LAT,LON,DEPTH,Md,Num P&S with weights > 0.1,max az gap,dist to nearest stn,tt RMS,ERH,ERZ,STRIKE,DIP,RAKE,PLATE DESIGNATION,TEMPLATE EVENT?,datetime
630,2.0,20121001043257.1,2012.0,10.0,1.0,4.0,32.0,57.05,40.719,-125.9525,13.09,3.68,6.0,168.0,34.0,0.46,2.6,29.2,,,,Seaward of Trench,,2012-10-01 04:32:57+00:00
631,2.0,20121001233058.4,2012.0,10.0,1.0,23.0,30.0,58.38,40.5787,-124.8887,20.54,2.37,7.0,312.0,11.8,0.34,6.9,5.8,,,,Slab,,2012-10-01 23:30:58+00:00
632,2.0,20121002042546.4,2012.0,10.0,2.0,4.0,25.0,46.37,40.5592,-125.2087,16.99,2.94,17.0,138.0,24.1,0.3,1.7,5.0,,,,Seaward of Trench,,2012-10-02 04:25:46+00:00
633,2.0,20121002051628.4,2012.0,10.0,2.0,5.0,16.0,28.35,40.5075,-124.545,32.37,2.8,27.0,62.0,7.3,0.35,1.1,1.2,,,,Slab,,2012-10-02 05:16:28+00:00
634,2.0,20121002061718.9,2012.0,10.0,2.0,6.0,17.0,18.88,40.4213,-125.3963,11.03,3.02,15.0,122.0,31.2,0.46,1.4,34.8,316.59,43.54,-85.95,Seaward of Trench,,2012-10-02 06:17:18+00:00
635,2.0,20121002064810.5,2012.0,10.0,2.0,6.0,48.0,10.53,40.606,-125.2053,11.05,3.03,20.0,88.0,28.2,0.34,1.0,25.5,,,,Seaward of Trench,,2012-10-02 06:48:10+00:00
636,2.0,20121002202853.7,2012.0,10.0,2.0,20.0,28.0,53.68,40.3643,-124.7527,3.35,1.67,6.0,155.0,15.0,0.17,0.7,0.6,,,,Seaward of Trench,,2012-10-02 20:28:53+00:00
637,2.0,20121003011433.9,2012.0,10.0,3.0,1.0,14.0,33.93,40.304,-124.3595,41.4,3.26,37.0,120.0,9.3,0.56,1.6,2.2,,,,Slab,,2012-10-03 01:14:33+00:00
639,2.0,20121003094057.3,2012.0,10.0,3.0,9.0,40.0,57.26,40.446,-125.3212,7.6,2.78,18.0,211.0,25.4,0.41,3.4,1.9,,,,Seaward of Trench,,2012-10-03 09:40:57+00:00
640,2.0,20121003151359.1,2012.0,10.0,3.0,15.0,13.0,59.09,40.5912,-126.087,5.65,3.2,6.0,188.0,26.7,0.03,1.5,1.1,,,,Seaward of Trench,,2012-10-03 15:13:59+00:00
