,Unnamed: 0,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick,datetime
9,9,1,2012-10-01 06:49:32.774709+00:00,65.56634736278599,-222.10368621206584,22.265625,8,40.49762351129882,-124.7265489262641,22.265625,1,47726,-1.0448877811431885,FS20B,P,1349074177.2802,2012-10-01 06:49:32.774709+00:00
17,17,2,2012-10-01 07:27:43.637578+00:00,75.71855598670123,-225.9153173139505,41.015625,11,40.46243873789694,-124.60725643701826,41.015625,2,4867,1.33379864692688,FS13B,P,1349076471.579,2012-10-01 07:27:43.637578+00:00
28,28,3,2012-10-01 11:20:41.931150+00:00,38.49379103234533,-231.2516008565892,33.984375,9,40.4169407780584,-125.04645081431816,33.984375,3,380,0.8532462120056152,FS09B,P,1349090448.8017,2012-10-01 11:20:41.931150+00:00
37,37,4,2012-10-01 12:32:08.206160+00:00,94.33093846387922,-220.5790337713119,48.046875,20,40.50858229597206,-124.38705306290022,48.046875,4,383,0.8704922199249268,FS09B,P,1349094738.1217,2012-10-01 12:32:08.206160+00:00
57,57,5,2012-10-01 16:03:31.712376+00:00,93.48492107855296,-257.93301856978223,37.890625,11,40.172342575562496,-124.40249729402908,37.890625,5,394,1.3185813426971436,FS09B,P,1349107422.1017,2012-10-01 16:03:31.712376+00:00
68,68,6,2012-10-01 17:17:59.756840+00:00,-58.79820828017584,-205.33250936377303,48.828125,10,40.64914866947949,-126.19517811584282,48.828125,6,407,0.7648684978485107,FS09B,P,1349111899.9617,2012-10-01 17:17:59.756840+00:00
78,78,7,2012-10-01 18:57:44.902391+00:00,95.17695584920548,-267.0809332143056,12.109375,9,40.089782199493854,-124.38398474158872,12.109375,7,416,1.4339711666107178,FS09B,P,1349117874.9017,2012-10-01 18:57:44.902391+00:00
87,87,8,2012-10-01 20:00:15.411025+00:00,36.80175626169279,-117.6649940204243,0.390625,8,41.43980618603379,-125.05964823728236,0.390625,8,161820,-0.4885990619659424,FS13B,S,1349121643.971,2012-10-01 20:00:15.411025+00:00
95,95,9,2012-10-01 23:30:57.156702+00:00,59.6442256655021,-208.3818142452808,37.890625,16,40.621630484519,-124.79510888214423,37.890625,9,437,0.058992862701416,FS09B,P,1349134263.7017,2012-10-01 23:30:57.156702+00:00
111,111,10,2012-10-02 01:00:39.451878+00:00,89.25483415192159,-244.97347282337415,48.828125,6,40.28949462169056,-124.45034987170152,48.828125,10,5249,0.1339855194091797,FS13B,P,1349139648.7935,2012-10-02 01:00:39.451878+00:00
117,117,11,2012-10-02 02:33:27.019870+00:00,108.71323401442582,-267.0809332143056,22.265625,6,40.08814444552388,-124.22529736918176,22.265625,11,5296,-0.3848953247070312,FS13B,P,1349145217.6575,2012-10-02 02:33:27.019870+00:00
123,123,12,2012-10-02 02:37:33.296918+00:00,-17.343356399188554,-219.05438133055804,44.140625,29,40.52749066073322,-125.70468199588902,44.140625,12,453,0.3441357612609863,FS09B,P,1349145467.0612,2012-10-02 02:37:33.296918+00:00
152,152,13,2012-10-02 02:56:57.054985+00:00,-16.497339013862284,-219.05438133055804,42.578125,27,40.52750791521021,-125.6946975644334,42.578125,13,5307,0.4745628833770752,FS13B,P,1349146630.6735,2012-10-02 02:56:57.054985+00:00
179,179,14,2012-10-02 03:54:09.211413+00:00,-162.01232928998087,-190.8483111766111,48.046875,21,40.76571802028638,-127.41878734209727,48.046875,14,457,0.3336105346679687,FS09B,P,1349150083.5012,2012-10-02 03:54:09.211413+00:00
200,200,15,2012-10-02 04:25:44.934867+00:00,28.34158240843008,-206.85716180452687,44.140625,23,40.6370254686216,-125.16497379878268,44.140625,15,458,0.362109899520874,FS09B,P,1349151954.0212,2012-10-02 04:25:44.934867+00:00
223,223,16,2012-10-02 04:46:27.181971+00:00,82.48669506931142,-200.7585520415114,37.109375,14,40.688306360607626,-124.52418301027828,37.109375,16,158089,0.5366899967193604,FS09B,S,1349153201.2612,2012-10-02 04:46:27.181971+00:00
237,237,17,2012-10-02 05:16:27.148613+00:00,79.9486429133326,-211.4311191267886,49.609375,23,40.5924607357325,-124.55555962969328,49.609375,17,460,0.0879051685333252,FS09B,P,1349154995.6612,2012-10-02 05:16:27.148613+00:00
260,260,18,2012-10-02 06:17:16.500038+00:00,-0.4230086926631355,-232.77625329734303,48.046875,15,40.404099902536416,-125.5049831181842,48.046875,18,472,0.1691071987152099,FS09B,P,1349158648.1612,2012-10-02 06:17:16.500038+00:00
275,275,19,2012-10-02 06:48:09.003035+00:00,28.34158240843008,-206.85716180452687,44.140625,24,40.6370254686216,-125.16497379878268,44.140625,19,478,0.2739417552947998,FS09B,P,1349160498.0012,2012-10-02 06:48:09.003035+00:00
299,299,20,2012-10-02 19:01:17.017094+00:00,129.01765126225632,-232.01392707696607,19.140625,7,40.40097670095601,-123.9802480658667,19.140625,20,5717,1.1380608081817627,FS13B,P,1349204489.6895,2012-10-02 19:01:17.017094+00:00
306,306,21,2012-10-02 20:28:51.358038+00:00,49.49201704158685,-185.51202763397248,26.171875,8,40.8282335877771,-124.9132780377425,26.171875,21,5777,0.0986137390136718,FS13B,P,1349209738.6255,2012-10-02 20:28:51.358038+00:00
314,314,22,2012-10-02 21:23:43.090278+00:00,57.95219089484956,-219.05438133055804,37.890625,17,40.5256479658933,-124.81608366314018,37.890625,22,562,-0.551210880279541,FS09B,P,1349213028.3412,2012-10-02 21:23:43.090278+00:00
331,331,23,2012-10-03 01:14:34.027227+00:00,98.56102539051057,-222.86601243244277,49.609375,21,40.48749995207931,-124.33751018289854,49.609375,23,583,-0.0150771141052246,FS09B,P,1349226883.5806,2012-10-03 01:14:34.027227+00:00
352,352,24,2012-10-03 09:40:53.908802+00:00,-0.4230086926631355,-234.30090573809696,49.609375,18,40.39036952441691,-125.50498210603668,49.609375,24,6107,0.6491472721099854,FS13B,P,1349257266.2719,2012-10-03 09:40:53.908802+00:00
370,370,25,2012-10-03 14:50:17.948916+00:00,85.8707646106165,-211.4311191267886,12.109375,9,40.59186759424836,-124.48561114483373,12.109375,25,662,0.151930570602417,FS09B,P,1349275823.4406,2012-10-03 14:50:17.948916+00:00
379,379,26,2012-10-03 15:13:56.376819+00:00,-65.56634736278599,-226.6776435343275,33.984375,15,40.4564367063439,-126.27297855584554,33.984375,26,665,0.0836482048034668,FS09B,P,1349277256.4406,2012-10-03 15:13:56.376819+00:00
