depth ,vp,vp_grad,vs,vs_grad,x,y
0,1.9,0.384615385,1.096965511,0.222057796,1,0
1.3,2.4,0.47826087,1.385640646,0.276124042,1,0
5.9,4.6,0.16,2.655811238,0.092376043,1,0
8.4,5,0.3125,2.886751346,0.180421959,1,0
11.6,6,0.307692308,3.464101615,0.177646237,1,0
12.9,6.4,0.3125,3.695041723,0.180421959,1,0
14.5,6.9,0.0625,3.983716857,0.036084392,1,0
16.1,7,0.625,4.041451884,0.360843918,1,0
17.7,8,0.625,4.618802154,0.360843918,1,0
