,node,latitude_deg,latitude_min,longitude_deg,longitude_min,radius,buffer_zone,velocity_model_id,latitude,longitude
0,nod,40,30.0,126,50.0,161,14,3,40.5,-126.83333333333333
1,nod,41,42.0,127,15.0,161,14,3,41.7,-127.25
2,nod,43,0.0,127,20.0,157,14,3,43.0,-127.33333333333333
3,nod,44,18.0,127,27.0,154,14,3,44.3,-127.45
4,nod,45,36.0,127,33.0,150,14,3,45.6,-127.55
5,nod,47,0.0,128,0.0,147,14,3,47.0,-128.0
6,nod,47,35.0,128,40.0,147,14,3,47.583333333333336,-128.66666666666666
7,nod,48,54.0,130,0.0,140,14,3,48.9,-130.0
