,CI YEAR,TSTRING,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LAT,LON,DEPTH,Md,Num P&S with weights > 0.1,max az gap,dist to nearest stn,tt RMS,ERH,ERZ,STRIKE,DIP,RAKE,PLATE DESIGNATION,TEMPLATE EVENT?,datetime
638,2.0,20121003032515.6,2012.0,10.0,3.0,3.0,25.0,15.61,44.5047,-124.8293,10.49,1.16,5.0,249.0,16.9,0.3,8.1,5.4,,,,Interface,,2012-10-03 03:25:15+00:00
641,2.0,20121004045052.8,2012.0,10.0,4.0,4.0,50.0,52.82,44.5168,-124.4793,3.05,2.26,8.0,116.0,12.4,0.88,2.8,5.3,,,,Upper Plate,,2012-10-04 04:50:52+00:00
642,2.0,20121004045141.5,2012.0,10.0,4.0,4.0,51.0,41.52,44.5288,-124.246,7.16,1.77,4.0,175.0,30.5,0.17,5.4,17.8,,,,Upper Plate,,2012-10-04 04:51:41+00:00
643,2.0,20121004050727.3,2012.0,10.0,4.0,5.0,7.0,27.29,44.6025,-124.2972,18.89,2.55,17.0,98.0,20.1,0.29,0.6,0.7,,,,Interface,T,2012-10-04 05:07:27+00:00
644,2.0,20121004053457.4,2012.0,10.0,4.0,5.0,34.0,57.35,44.5475,-124.2572,7.14,1.72,6.0,183.0,30.2,0.19,5.5,17.0,,,,Upper Plate,,2012-10-04 05:34:57+00:00
661,2.0,20121008100613.0,2012.0,10.0,8.0,10.0,6.0,12.99,40.3765,-124.3477,7.06,1.61,4.0,243.0,37.2,0.12,4.7,13.7,,,,Undef,,2012-10-08 10:06:13+00:00
662,2.0,20121009043900.5,2012.0,10.0,9.0,4.0,39.0,0.51,44.56,-124.2608,7.17,1.9,6.0,187.0,30.3,0.27,6.6,19.5,,,,Upper Plate,,2012-10-09 04:39:00+00:00
664,2.0,20121010232618.8,2012.0,10.0,10.0,23.0,26.0,18.77,44.6093,-124.289,19.02,2.45,16.0,98.0,19.3,0.33,0.7,0.8,,,,Interface,T,2012-10-10 23:26:18+00:00
673,2.0,20121014164833.6,2012.0,10.0,14.0,16.0,48.0,33.63,40.339,-124.6048,8.07,1.94,4.0,174.0,13.2,0.07,5.4,12.3,,,,Undef,,2012-10-14 16:48:33+00:00
677,2.0,20121016093453.1,2012.0,10.0,16.0,9.0,34.0,53.1,40.3542,-125.1602,5.63,2.09,6.0,323.0,11.6,0.39,21.4,23.0,,,,Seaward of Trench,,2012-10-16 09:34:53+00:00
680,2.0,20121018053142.0,2012.0,10.0,18.0,5.0,31.0,41.98,44.399,-124.1975,6.29,1.5,6.0,145.0,34.7,0.06,0.4,13.5,,,,Upper Plate,,2012-10-18 05:31:42+00:00
697,2.0,20121022132515.6,2012.0,10.0,22.0,13.0,25.0,15.58,40.3028,-124.644,15.67,2.08,7.0,208.0,13.1,0.22,1.3,3.9,,,,Seaward of Trench,,2012-10-22 13:25:15+00:00
716,2.0,20121028024118.9,2012.0,10.0,28.0,2.0,41.0,18.94,40.364,-125.0612,13.13,2.13,6.0,289.0,3.8,0.11,1.4,1.1,,,,Seaward of Trench,,2012-10-28 02:41:18+00:00
