,Unnamed: 0,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick,datetime
22,22,1,2012-10-01 06:49:32.698471+00:00,57.95219089484956,-219.81670755093492,30.078125,15,40.51878341583367,-124.81615342899242,30.078125,1,86563,0.3245420455932617,BB030,P,1349074220.882001,2012-10-01 06:49:32.698471+00:00
37,37,2,2012-10-01 06:55:58.767739+00:00,79.10262552800631,-257.93301856978223,27.734375,10,40.173819936212674,-124.57132098437783,27.734375,2,153785,-0.808124303817749,FS01B,P,1349074565.27713,2012-10-01 06:55:58.767739+00:00
47,47,3,2012-10-01 07:27:43.380922+00:00,71.48846906006989,-228.96462219545836,39.453125,26,40.43535562082965,-124.65746808813049,39.453125,3,153787,-0.0582571029663085,FS01B,P,1349076470.83713,2012-10-01 07:27:43.380922+00:00
73,73,4,2012-10-01 11:20:38.336797+00:00,25.803530252451264,-206.85716180452687,37.109375,15,40.637108608885946,-125.19497572098756,37.109375,4,153796,-0.2047033309936523,FS01B,P,1349090446.75713,2012-10-01 11:20:38.336797+00:00
88,88,5,2012-10-01 12:32:08.005017+00:00,92.63890369322668,-222.10368621206584,48.828125,41,40.4950451933906,-124.40723556705076,48.828125,5,153797,-0.342850923538208,FS01B,P,1349094738.35713,2012-10-01 12:32:08.005017+00:00
129,129,6,2012-10-01 13:23:37.635484+00:00,126.4795991062775,-238.1125368399817,39.453125,11,40.3464625931882,-124.01134410303816,39.453125,6,226944,0.0079209804534912,FS04B,P,1349097827.026056,2012-10-01 13:23:37.635484+00:00
140,140,7,2012-10-01 16:03:33.162037+00:00,93.48492107855296,-264.0316283327978,12.109375,26,40.1174287511214,-124.4033807384371,12.109375,7,153814,-0.6002743244171143,FS01B,P,1349107421.19713,2012-10-01 16:03:33.162037+00:00
166,166,8,2012-10-01 16:20:18.303648+00:00,72.33448644539615,-226.6776435343275,31.640625,10,40.4558756381304,-124.64723810271497,31.640625,8,525874,-0.0432255268096923,FS02B,S,1349108427.7701,2012-10-01 16:20:18.303648+00:00
176,176,9,2012-10-01 17:17:57.652549+00:00,-69.79643428941736,-218.29205511018108,36.328125,18,40.53160049108508,-126.32376635406702,36.328125,9,153820,-1.011981725692749,FS01B,P,1349111896.01713,2012-10-01 17:17:57.652549+00:00
194,194,10,2012-10-01 18:57:46.773321+00:00,93.48492107855296,-238.87486306035865,25.390625,21,40.34394480406646,-124.39972083180292,25.390625,10,153830,-1.292949676513672,FS01B,P,1349117873.99713,2012-10-01 18:57:46.773321+00:00
