depth ,vp,vp_grad,vs,vs_grad,x,y
0,1.9,0.666666667,1.096965511,0.384900179,1,0
0.9,2.5,0.434782609,1.443375673,0.251021856,1,0
3.2,3.5,0.769230769,2.020725942,0.444115592,1,0
4.5,4.5,0.333333333,2.598076211,0.19245009,1,0
6.9,5.3,0.538461538,3.059956427,0.310880914,1,0
8.2,6,0.266666667,3.464101615,0.153960072,1,0
9.7,6.4,0.3125,3.695041723,0.180421959,1,0
11.3,6.9,0.0625,3.983716857,0.036084392,1,0
12.9,7,0.625,4.041451884,0.360843918,1,0
14.5,8,0.625,4.618802154,0.360843918,1,0
