,Unnamed: 0,node,radius,buffer_zone,velocity_model_id,latitude,longitude
0,0,nod,26.25,26.25,13,45.9,-125.04166666666666
1,1,nod,26.25,26.25,13,45.75,-125.04166666666666
2,2,nod,26.25,26.25,13,45.6,-125.04166666666666
3,3,nod,26.25,26.25,13,45.45,-125.04166666666666
4,4,nod,26.25,26.25,13,45.3,-125.04166666666666
5,5,nod,26.25,26.25,13,45.15,-125.04166666666666
6,6,nod,26.25,26.25,13,45.0,-125.04166666666666
7,7,nod,26.25,26.25,13,44.85,-125.04166666666666
8,8,nod,26.25,26.25,13,44.7,-125.0
9,9,nod,26.25,26.25,13,44.55,-125.0
10,10,nod,26.25,26.25,13,44.4,-125.0
11,11,nod,26.25,26.25,13,44.25,-125.0
12,12,nod,26.25,26.25,13,44.1,-125.0
13,13,nod,26.25,26.25,13,43.95,-125.0
14,14,nod,26.25,26.25,13,43.8,-125.04166666666666
15,15,nod,26.25,26.25,13,43.65,-125.04166666666666
16,16,nod,26.25,26.25,13,43.5,-124.98333333333335
