,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,datetime
0,2012-10-31T08:38:35.050Z,39.3658333,-123.2246667,6.059,1.57,md,14,67.0,0.1712,0.05,nc,nc71872330,2017-01-28T20:40:53.374Z,"10 km WNW of Potter Valley, California",earthquake,0.22,1.52,0.276,16.0,reviewed,nc,nc,2012-10-31 08:38:35.050000+00:00
1,2012-10-29T03:56:54.290Z,39.5795,-123.5063333,3.504,1.19,md,3,172.0,0.08649,0.18,nc,nc71065939,2017-01-28T20:13:05.793Z,"12 km S of Laytonville, California",earthquake,6.63,14.38,0.229,3.0,reviewed,nc,nc,2012-10-29 03:56:54.290000+00:00
2,2012-10-25T06:36:40.770Z,45.4081667,-126.7785,4.962,2.6,md,12,310.0,2.067,1.0,uw,uw60480541,2016-07-22T19:02:25.980Z,"219 km W of Oceanside, Oregon",earthquake,51.55,31.61,0.105,2.0,reviewed,uw,uw,2012-10-25 06:36:40.770000+00:00
3,2012-10-22T18:47:23.530Z,39.3961667,-123.2813333,5.964,2.17,md,36,50.0,0.191,0.06,nc,nc71865150,2017-01-28T19:03:19.280Z,"6 km ESE of Willits, California",earthquake,0.13,0.74,0.156,38.0,reviewed,nc,nc,2012-10-22 18:47:23.530000+00:00
4,2012-10-22T12:37:25.020Z,43.806,-128.186,10.0,2.7,md,7,268.8,,0.31,us,usp000juaf,2014-11-07T01:49:07.840Z,off the coast of Oregon,earthquake,,,,,reviewed,us,sea,2012-10-22 12:37:25.020000+00:00
5,2012-10-21T02:29:54.810Z,39.4083333,-123.4986667,-0.047,1.66,md,14,88.0,0.04505,0.1,nc,nc71863520,2017-01-28T18:24:59.118Z,"10 km WSW of Brooktrails, California",earthquake,0.27,0.96,0.115,14.0,reviewed,nc,nc,2012-10-21 02:29:54.810000+00:00
6,2012-10-19T23:55:11.410Z,39.5575,-123.3851667,4.16,1.17,md,9,103.0,0.08739,0.06,nc,nc71065799,2017-01-28T18:15:34.374Z,"12 km N of Brooktrails, California",earthquake,0.24,1.39,0.338,9.0,reviewed,nc,nc,2012-10-19 23:55:11.410000+00:00
7,2012-10-18T18:19:38.520Z,42.3686667,-123.4353333,-0.93,1.1,md,5,159.0,0.1401,0.18,uw,uw60478016,2016-07-22T19:02:15.530Z,"5 km W of New Hope, Oregon",explosion,0.8,31.61,0.192,3.0,reviewed,uw,uw,2012-10-18 18:19:38.520000+00:00
8,2012-10-17T22:08:14.610Z,43.1895,-123.4426667,-0.577,1.27,md,4,165.0,0.1616,0.17,uw,uw60477811,2016-07-22T19:02:13.530Z,"3 km ENE of Lookingglass, Oregon",explosion,0.77,31.61,,2.0,reviewed,uw,uw,2012-10-17 22:08:14.610000+00:00
9,2012-10-12T04:43:45.620Z,46.09,-123.541,21.762,0.9,md,16,118.0,0.06213,0.14,uw,uw60463277,2016-07-22T19:01:55.410Z,"13 km WSW of Westport, Oregon",earthquake,0.31,1.0,0.094,4.0,reviewed,uw,uw,2012-10-12 04:43:45.620000+00:00
10,2012-10-11T18:05:59.590Z,43.3191667,-123.3398333,-0.365,0.7,md,4,194.0,0.1596,0.16,uw,uw60462907,2016-07-22T19:01:54.110Z,"6 km NNW of Roseburg North, Oregon",explosion,0.76,31.61,0.248,2.0,reviewed,uw,uw,2012-10-11 18:05:59.590000+00:00
11,2012-10-11T17:56:31.760Z,45.355,-123.4648333,-0.357,1.3,md,4,138.0,0.2017,0.13,uw,uw60462902,2016-07-22T19:01:53.890Z,"21 km W of Yamhill, Oregon",explosion,0.54,31.61,0.574,2.0,reviewed,uw,uw,2012-10-11 17:56:31.760000+00:00
12,2012-10-10T18:59:37.100Z,39.3366667,-123.2441667,6.396,1.53,md,19,51.0,0.1387,0.03,nc,nc71856730,2017-01-28T16:48:16.399Z,"8 km NNW of Redwood Valley, California",earthquake,0.19,0.89,0.166,22.0,reviewed,nc,nc,2012-10-10 18:59:37.100000+00:00
13,2012-10-10T18:47:15.730Z,45.7741667,-123.7081667,-0.382,1.1,md,4,175.0,0.1712,0.48,uw,uw60462392,2016-07-22T19:01:51.390Z,"15 km ENE of Nehalem, Oregon",explosion,2.34,31.61,0.822,2.0,reviewed,uw,uw,2012-10-10 18:47:15.730000+00:00
14,2012-10-10T03:45:36.690Z,39.563,-123.3898333,6.82,1.79,md,15,91.0,0.08108,0.05,nc,nc71856350,2017-01-28T16:43:09.321Z,"13 km N of Brooktrails, California",earthquake,0.22,0.77,0.101,15.0,reviewed,nc,nc,2012-10-10 03:45:36.690000+00:00
15,2012-10-09T20:50:48.470Z,42.821,-123.9296667,-0.701,1.43,md,4,258.0,0.2315,0.2,uw,uw60461877,2016-07-22T19:01:48.920Z,"13 km ESE of Powers, Oregon",explosion,1.35,31.61,0.183,4.0,reviewed,uw,uw,2012-10-09 20:50:48.470000+00:00
