,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick
0,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,153772,0.8917968273162842,FS01B,P,1349065993.81713
1,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,525840,-0.0377500057220459,FS02B,S,1349066006.3781
2,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,517520,0.005924701690673828,FS06B,S,1349066006.0732
3,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,315136,-0.08512568473815918,FS10B,P,1349065995.079999
4,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,478001,0.4940512180328369,FS20B,S,1349066001.879701
5,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,53725,0.49248361587524414,G02B,P,1349065993.096602
6,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,431959,-0.19488763809204102,G03B,S,1349065998.9494
7,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,81081,0.12276697158813477,G10B,P,1349065984.506205
8,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,443136,-0.39873623847961426,G10B,S,1349065989.226205
9,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,107921,0.03329825401306152,G11B,P,1349065984.877598
10,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,466769,-0.7482705116271973,G11B,S,1349065989.657598
11,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,17608,0.8715720176696777,G19B,P,1349065988.8809
12,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,383593,0.38778257369995117,G19B,S,1349065996.1609
13,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,60331,0.05402660369873047,G20B,P,1349065990.797098
14,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,423712,-0.6921792030334473,G20B,S,1349065999.717098
15,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,329714,0.02948784828186035,JCC,P,1349066002.348393
16,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,631858,-0.9767963886260986,JCC,S,1349066019.018393
17,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,542859,-0.4715535640716553,KHMB,S,1349066026.03
18,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,580716,-0.016069889068603516,KMR,S,1349066029.16
19,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,521402,-0.003470897674560547,KRP,S,1349066021.71
20,0,2012-10-01 04:32:56.834786+00:00,-36.80175626169279,-416.42613003846816,37.890625,21,40.750477515550074,-125.93577231339786,37.890625,0,87080,0.241652250289917,M09B,P,1349066033.3936
21,1,2012-10-01 06:06:25.601846+00:00,104.48314708779446,-425.999093337978,25.390625,9,40.6584847168465,-124.2645213035744,25.390625,1,554952,-0.426541805267334,FS04B,S,1349071600.715657
22,1,2012-10-01 06:06:25.601846+00:00,104.48314708779446,-425.999093337978,25.390625,9,40.6584847168465,-124.2645213035744,25.390625,1,478016,0.9288475513458252,FS20B,S,1349071606.560043
23,1,2012-10-01 06:06:25.601846+00:00,104.48314708779446,-425.999093337978,25.390625,9,40.6584847168465,-124.2645213035744,25.390625,1,329716,-0.73087477684021,JCC,P,1349071590.948393
24,1,2012-10-01 06:06:25.601846+00:00,104.48314708779446,-425.999093337978,25.390625,9,40.6584847168465,-124.2645213035744,25.390625,1,631861,-0.14606404304504395,JCC,S,1349071595.738393
25,1,2012-10-01 06:06:25.601846+00:00,104.48314708779446,-425.999093337978,25.390625,9,40.6584847168465,-124.2645213035744,25.390625,1,209722,-0.20113325119018555,KHMB,P,1349071594.97
26,1,2012-10-01 06:06:25.601846+00:00,104.48314708779446,-425.999093337978,25.390625,9,40.6584847168465,-124.2645213035744,25.390625,1,542865,1.3028302192687988,KHMB,S,1349071603.1
27,1,2012-10-01 06:06:25.601846+00:00,104.48314708779446,-425.999093337978,25.390625,9,40.6584847168465,-124.2645213035744,25.390625,1,206881,-1.2733888626098633,KMPB,P,1349071590.92
28,1,2012-10-01 06:06:25.601846+00:00,104.48314708779446,-425.999093337978,25.390625,9,40.6584847168465,-124.2645213035744,25.390625,1,261920,-0.6300382614135742,KMR,P,1349071597.1
29,1,2012-10-01 06:06:25.601846+00:00,104.48314708779446,-425.999093337978,25.390625,9,40.6584847168465,-124.2645213035744,25.390625,1,580722,1.1763641834259033,KMR,S,1349071607.3
