depth ,vp,vp_grad,vs,vs_grad,x,y
0,5.4,0.245,3.117691454,0.141450816,1,0
4,6.38,0.042,3.683494717,0.024248711,1,0
9,6.59,0.02,3.804738274,0.011547005,1,0
16,6.73,0.0325,3.885567312,0.018763884,1,0
20,6.86,0.018,3.960622847,0.010392305,1,0
25,6.95,0.053125,4.012584371,0.030671733,1,0
41,7.8,0.053125,4.5033321,0.030671733,1,0
