,id,longitude,latitude,elevation
0,FS09B,-124.808502,40.438702,-2161.0
1,G10B,-125.553299,40.677898,-2936.0
2,G19B,-125.773598,41.3074,-3071.0
3,G25B,-124.586098,41.919899,-430.0
4,G27B,-126.016701,41.916599,-3480.0
5,J09B,-124.726997,43.151001,-252.0
6,M12B,-124.946098,42.183998,-1045.0
7,M14B,-124.589699,40.985001,-638.0
