,node,latitude_deg,latitude_min,longitude_deg,longitude_min,radius,buffer_zone,velocity_model_id,latitude,longitude
0,nod,46,12.0,124,15.0,15,15,6,46.2,-124.25
1,nod,46,21.0,124,15.0,15,15,6,46.35,-124.25
2,nod,46,30.0,124,20.0,15,15,6,46.5,-124.33333333333333
3,nod,46,39.0,124,20.0,15,15,6,46.65,-124.33333333333333
4,nod,46,48.0,124,20.0,15,15,6,46.8,-124.33333333333333
5,nod,46,57.0,124,20.0,15,15,6,46.95,-124.33333333333333
6,nod,47,6.0,124,25.0,15,15,6,47.1,-124.41666666666667
