depth ,vp,vp_grad,vs,vs_grad,x,y
0,3.5,1.166666667,2.020725942,0.673575314,1,0
1.8,5.6,0.185185185,3.233161507,0.106916717,1,0
4.5,6.1,0.066666667,3.521836642,0.038490018,1,0
9,6.4,0.04,3.695041723,0.023094011,1,0
24,7,0.051351351,4.041451884,0.029647717,1,0
42.5,7.95,0.051351351,4.58993464,0.029647717,1,0
