,Unnamed: 0.1,Unnamed: 0,node,radius,buffer_zone,velocity_model_id,latitude,longitude
0,0,0,nod,22.5,28.125,9,47.4,-125.39583333333334
1,1,1,nod,22.5,28.125,9,47.55,-125.45833333333333
2,2,2,nod,22.5,28.125,9,47.7,-125.54166666666666
3,3,3,nod,22.5,28.125,9,47.85,-125.60416666666669
4,4,4,nod,22.5,28.125,9,48.0,-125.77083333333331
5,5,5,nod,22.5,28.125,9,48.15,-125.89583333333333
6,6,6,nod,22.5,28.125,9,48.3,-126.125
7,7,7,nod,22.5,28.125,9,48.45,-126.25000000000001
8,8,8,nod,22.5,31.875,9,48.6,-126.39583333333331
9,9,9,nod,22.5,31.875,9,48.68333333333333,-126.52083333333334
10,10,10,nod,22.5,31.875,9,48.766666666666666,-126.66666666666667
11,11,11,nod,22.5,31.875,9,48.91666666666666,-126.89583333333333
12,12,12,nod,22.5,31.875,9,49.016666666666666,-127.08333333333334
13,13,13,nod,22.5,31.875,9,49.15,-127.24999999999999
14,14,14,nod,22.5,31.875,9,49.266666666666666,-127.37500000000001
15,15,15,nod,22.5,31.875,9,49.36666666666667,-127.47916666666667
16,16,16,nod,22.5,28.125,9,49.516666666666666,-127.60416666666666
