depth ,vp,vp_grad,vs,vs_grad,x,y
0,1.8,0.285714286,1.039230485,0.16495722,1,0
0.7,2,1.357142857,1.154700538,0.783546794,1,0
2.1,3.9,0.416666667,2.25166605,0.240562612,1,0
3.3,4.4,0.197530864,2.540341184,0.114044498,1,0
11.4,6,0.571428571,3.464101615,0.32991444,1,0
12.8,6.8,0.074074074,3.92598183,0.042766687,1,0
15.5,7,0.588235294,4.041451884,0.339617805,1,0
17.2,8,0.588235294,4.618802154,0.339617805,1,0
