depth ,vp,vp_grad,vs,vs_grad,x,y
0,1.8,0.7,1.039230485,0.404145188,1,0
1,2.5,0.606060606,1.443375673,0.349909254,1,0
4.3,4.5,0.375,2.598076211,0.216506351,1,0
8.3,6,0.136363636,3.464101615,0.078729582,1,0
10.5,6.3,0.011363636,3.637306696,0.006560799,1,0
19.3,6.4,0.5,3.695041723,0.288675135,1,0
20.3,6.9,0.032258065,3.983716857,0.018624202,1,0
23.4,7,0.666666667,4.041451884,0.384900179,1,0
25.2,8.2,0.666666667,4.734272207,0.384900179,1,0
