,id,longitude,latitude,elevation
0,7D.J33A.,-124.570801,45.106602,-348.7
1,7D.J41A.,-124.537201,45.811901,-175.0
2,7D.J42A.,-125.299698,45.933102,-1540.0
3,7D.M08A.,-124.895302,44.118698,-126.4
4,7D.M07A.,-125.116798,44.898701,-1356.5
5,7D.J25A.,-124.621597,44.4729,-142.8
7,7D.J09B.,-124.726997,43.151001,-252.0
10,7D.J25B.,-124.621696,44.471298,-147.0
12,7D.J33B.,-124.570602,45.106602,-350.0
13,7D.J18B.,-125.466003,44.008301,-3047.0
14,7D.M09B.,-125.058899,44.249699,-914.0
16,7D.J10B.,-125.543503,43.3494,-3093.0
18,7D.J26A.,-125.4664,44.654701,-2864.0
19,7D.M06A.,-124.926804,45.529499,-1439.0
20,7D.J34A.,-125.414497,45.305698,-2574.0
21,7D.J17B.,-124.614799,43.790001,-286.0
23,7D.J41C.,-124.537598,45.811699,-171.0
25,7D.J34C.,-125.415199,45.306999,-2580.0
28,7D.J42C.,-125.299103,45.932301,-1550.0
30,7D.M05C.,-124.934502,46.1735,-837.0
32,7D.J33C.,-124.570801,45.1068,-354.0
33,7D.M06C.,-124.926102,45.528702,-1460.0
34,7D.M08C.,-124.895401,44.1185,-131.0
36,7D.J26C.,-125.465302,44.6534,-2868.0
37,7D.M07C.,-125.116798,44.8988,-1365.0
38,7D.M10B.,-124.972801,43.624802,-675.0
39,7D.J25C.,-124.621696,44.473,-144.0
40,7D.M18B.,-124.971199,44.8871,-720.0
41,7D.J10D.,-125.545097,43.348499,-3085.0
46,7D.J18D.,-125.4814,43.9772,-3050.0
50,7D.J17D.,-124.613403,43.7873,-285.0
53,7D.J26D.,-125.467003,44.6577,-2880.0
54,7D.J09D.,-124.727097,43.151402,-252.0
55,7D.FC03D.,-124.738297,44.813301,-432.0
56,7D.J25D.,-124.630997,44.456699,-136.0
58,7D.M13D.,-125.044601,43.597301,-990.0
59,OO.HYS14.,-125.1479,44.569157,-775.0
69,OO.HYSB1.,-125.405258,44.509791,-2908.0
