,station,phase,time
0,NC89,P,2016-06-04T00:15:57.815000Z
1,HYS14,P,2016-06-04T00:35:48.000000Z
2,NCBC,P,2016-06-04T00:31:38.190000Z
3,HYSB1,P,2016-06-04T00:35:44.675000Z
4,FISH,P,2016-06-04T00:36:13.088393Z
5,RADR,P,2016-06-04T00:36:17.740000Z
6,DBO,P,2016-06-04T00:21:17.640000Z
7,WISH,P,2016-06-04T00:36:25.180000Z
8,JEDS,P,2016-06-04T00:35:56.715000Z
9,FORK,P,2016-06-04T00:32:26.215000Z
10,BABR,P,2016-06-04T00:36:00.415000Z
11,NC89,S,2016-06-04T00:15:57.935000Z
12,NC89,S,2016-06-04T00:20:20.895000Z
13,NC89,S,2016-06-04T00:33:39.835000Z
14,HYS14,S,2016-06-04T00:36:03.435000Z
15,NCBC,S,2016-06-04T00:20:39.685000Z
16,NCBC,S,2016-06-04T00:23:46.595000Z
17,HYSB1,S,2016-06-04T00:35:57.225000Z
18,FISH,S,2016-06-04T00:36:43.618393Z
19,RADR,S,2016-06-04T00:36:51.790000Z
20,DBO,S,2016-06-04T00:25:01.840000Z
21,DBO,S,2016-06-04T00:36:36.515000Z
22,JEDS,S,2016-06-04T00:36:15.640000Z
23,FORK,S,2016-06-04T00:37:19.515000Z
24,BABR,S,2016-06-04T00:36:21.515000Z
